filename,target_npz,runtime,best_loss,optimizer,loss_name,budget,num_particles,max_iter,realized_budget,w,c1,c2,seed,optuna_trial,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0029.npz,random_IR_0029.npz,500.433,1.25e-05,PSO+Optuna,L1_STFT,2000,42,46,1974,0.20610702514308,0.6696408018799658,2.0042074295078547,42278,28,9.72e-06,0.01085205,True,47.84507824,3.91597483,2.71474159,184148361216.0,21230.0,0.00225365,1.75950217,129.88702393,0.85120821,0.69509846,114704769945.09769,10597.03256049,0.00201743,1.75950242,58.03858003,0.85120831,0.6950984
random_IR_0030.npz,random_IR_0030.npz,594.507,0.00031581,PSO+Optuna,L1_STFT,2000,57,34,1995,0.10477085743708159,2.511647413772256,1.902293404739564,10594,37,1.426e-05,0.0003497,True,21.45430154,0.96285177,4.02719615,219999993856.0,21065.890625,0.00101844,1.62084293,86.40068054,0.77292848,0.94937509,136415617217.07494,15202.58414177,0.00109871,1.62085066,67.25895897,0.77292381,0.94936893
random_IR_0031.npz,random_IR_0031.npz,588.706,0.02410959,PSO+Optuna,L1_STFT,2000,55,35,1980,0.4244112731195008,1.6291600567416826,2.1498621162656626,65167,8,1.491e-05,1.42e-06,True,13.88815877,2.94254477,49.21384003,149574516736.0,9551.91503906,0.00145397,3.97102642,683.48962402,0.88174725,0.66692513,70159602918.25648,7380.46068266,0.00186759,3.97198295,663.08157232,0.88160554,0.6668084
random_IR_0032.npz,random_IR_0032.npz,289.423,0.0010487,PSO+Optuna,L1_STFT,2000,38,51,1976,0.17083379991230907,0.7235110450880045,2.430729089252336,81348,27,1.419e-05,0.00137412,True,57.21815178,14.05951963,17.43642146,86860177408.0,12159.66992188,0.00470557,2.21205807,997.67980957,0.64416194,0.90104657,200515550283.45148,14254.85865951,0.00335327,2.21204529,831.05014475,0.6440356,0.90104295
random_IR_0033.npz,random_IR_0033.npz,129.835,0.0098968,PSO+Optuna,L1_STFT,2000,39,50,1989,0.11109259605064903,1.1463978206112349,2.962068967035477,34328,13,2.086e-05,0.00904275,True,7.02467938,67.25186615,22.50747827,219999993856.0,2430.0,0.00289081,1.63842177,158.1078186,0.86846906,0.63427281,211947700344.80545,6481.54432973,0.00481117,1.63834424,687.49140151,0.86811935,0.6344314
random_IR_0034.npz,random_IR_0034.npz,208.202,2.076e-05,PSO+Optuna,L1_STFT,2000,44,44,1980,0.21427121499734228,0.9429707719771725,2.23871749180572,44815,36,9.34e-06,0.00276746,True,32.81748087,17.49769542,1.31705605,138940448768.0,9126.45117188,0.00359586,1.71860456,43.2224617,0.69334412,0.73715192,131976876718.98044,6330.43741829,0.0030728,1.71860473,25.67246143,0.69334329,0.73715196
random_IR_0035.npz,random_IR_0035.npz,179.399,0.06634557,PSO+Optuna,L1_STFT,2000,60,32,1980,0.6243529036361,1.9092353765390657,1.1959659604540458,51278,17,1.492e-05,6.688e-05,True,16.32505595,31.25186246,48.32692897,158701207552.0,4936.51416016,0.003307,1.90331113,788.93981934,0.57725883,0.86133182,146159003394.57947,4639.59889209,0.00334714,1.90512325,863.85696737,0.57471337,0.86126124
random_IR_0036.npz,random_IR_0036.npz,282.024,0.00380322,PSO+Optuna,L1_STFT,2000,59,32,1947,0.41953012358507524,1.188413028515699,1.9584396000781141,26141,22,2.684e-05,0.01389742,True,46.75837786,26.00011715,11.22632233,109415104512.0,9351.67578125,0.005,2.24865866,524.92462158,0.68432277,0.97089314,141672610939.29004,5153.13787566,0.00326169,2.24857314,183.28800342,0.68425024,0.97081165
random_IR_0037.npz,random_IR_0037.npz,316.81,0.02086061,PSO+Optuna,L1_STFT,2000,52,37,1976,0.3236018293101876,1.8897534525031772,1.5574548878231527,92199,35,3.484e-05,0.00029251,True,12.91549411,53.76068785,44.32866971,195702063104.0,3779.20141602,0.00341752,3.31919861,572.52667236,0.79648054,0.98148286,151485447898.1282,3998.34178631,0.00399465,3.31944324,903.72070255,0.79639327,0.98134883
random_IR_0038.npz,random_IR_0038.npz,203.757,0.00314063,PSO+Optuna,L1_STFT,2000,56,34,1960,0.4219641092954624,1.2645862939696721,2.0200456211431757,40305,20,1.683e-05,0.02205577,True,43.10818751,26.17307228,19.10397319,101544640512.0,8621.63769531,0.005,1.94731808,823.53765869,0.83832407,0.89471173,209217985469.20517,2738.87703632,0.00196332,1.94722783,100.30293933,0.83825911,0.89472493
random_IR_0039.npz,random_IR_0039.npz,221.998,0.00547024,PSO+Optuna,L1_STFT,2000,49,39,1960,0.3378355967777822,2.550877626668663,1.6432170188129127,43283,32,2.702e-05,0.00143055,True,48.28407853,18.64234489,1.67570378,191068569600.0,12854.28808594,0.00375626,1.91709828,80.90981293,0.93968034,0.67563045,216556756380.9004,11559.79880357,0.00334564,1.91701731,63.96462657,0.93948757,0.67569789
random_IR_0040.npz,random_IR_0040.npz,1010.221,0.00035551,PSO+Optuna,L1_STFT,2000,47,41,1974,0.28976468448553516,1.2777597097553164,2.0666592248075695,33679,27,1.739e-05,0.02046312,True,2.43929968,3.10324211,24.48592775,85159534592.0,2439.29956055,0.001,3.88854742,59.72851562,0.81890827,0.93840206,189277995864.91592,20127.90084848,0.00192681,3.88855345,949.31932923,0.81891949,0.9384011
