folder,file,label_hz,F_hz,semis,score,alpha,p1,bump2,bump3,bump4,odd_only,kind
17476__modularsamples__rol,302629__modularsamples__roland-juno-6-pulse-bass-g2-pulse-bass-44-64.aiff,103.83,51.61,-12.10,45.52,1.94,-2.76,0.27,-1.53,0.46,-0.27,single
17476__modularsamples__rol,302630__modularsamples__roland-juno-6-pulse-bass-g2-pulse-bass-44-127.aiff,103.83,51.61,-12.10,53.19,2.06,-4.46,1.80,-2.91,2.66,-1.80,single
17476__modularsamples__rol,302631__modularsamples__roland-juno-6-pulse-bass-a2-pulse-bass-45-64.aiff,110.00,54.68,-12.10,49.68,1.92,-3.07,0.37,-1.60,0.57,-0.37,single
17476__modularsamples__rol,302632__modularsamples__roland-juno-6-pulse-bass-a2-pulse-bass-45-127.aiff,110.00,54.68,-12.10,52.51,2.14,-4.52,1.64,-3.07,2.74,-1.64,single
17476__modularsamples__rol,302633__modularsamples__roland-juno-6-pulse-bass-a2-pulse-bass-46-64.aiff,116.54,57.93,-12.10,51.15,1.80,-3.32,0.53,-1.27,0.75,-0.53,single
17476__modularsamples__rol,302634__modularsamples__roland-juno-6-pulse-bass-a2-pulse-bass-46-127.aiff,116.54,57.93,-12.10,53.95,2.09,-4.88,3.21,-2.93,3.59,-3.21,octave
17476__modularsamples__rol,302635__modularsamples__roland-juno-6-pulse-bass-b2-pulse-bass-47-64.aiff,123.47,61.38,-12.10,48.00,1.93,-2.60,0.34,-1.28,0.51,-0.34,single
17476__modularsamples__rol,302636__modularsamples__roland-juno-6-pulse-bass-b2-pulse-bass-47-127.aiff,123.47,61.38,-12.10,54.47,2.14,-5.08,3.07,-3.19,3.65,-3.07,octave
17476__modularsamples__rol,302637__modularsamples__roland-juno-6-pulse-bass-c3-pulse-bass-48-64.aiff,130.81,65.03,-12.10,52.11,1.85,-3.17,0.61,-0.99,0.67,-0.61,single
17476__modularsamples__rol,302638__modularsamples__roland-juno-6-pulse-bass-c3-pulse-bass-48-127.aiff,130.81,65.03,-12.10,53.50,2.22,-5.26,3.49,-3.62,3.98,-3.49,octave
17476__modularsamples__rol,302639__modularsamples__roland-juno-6-pulse-bass-c3-pulse-bass-49-64.aiff,138.59,69.30,-12.00,51.13,1.98,-3.70,-0.08,-1.13,0.31,0.08,single
17476__modularsamples__rol,302640__modularsamples__roland-juno-6-pulse-bass-c3-pulse-bass-49-127.aiff,138.59,68.90,-12.10,53.49,2.27,-6.20,5.64,-3.90,5.28,-5.64,octave
17476__modularsamples__rol,302641__modularsamples__roland-juno-6-pulse-bass-d3-pulse-bass-50-64.aiff,146.83,72.99,-12.10,53.78,1.88,-3.13,0.47,-0.78,0.42,-0.47,single
17476__modularsamples__rol,302642__modularsamples__roland-juno-6-pulse-bass-d3-pulse-bass-50-127.aiff,146.83,73.42,-12.00,53.56,2.39,-5.84,0.10,-0.06,-0.36,-0.10,single
17476__modularsamples__rol,302643__modularsamples__roland-juno-6-pulse-bass-d3-pulse-bass-51-64.aiff,155.56,77.33,-12.10,53.25,1.90,-3.17,0.55,-0.87,0.52,-0.55,single
17476__modularsamples__rol,302644__modularsamples__roland-juno-6-pulse-bass-d3-pulse-bass-51-127.aiff,155.56,77.78,-12.00,53.81,2.43,-5.95,0.30,0.09,-0.02,-0.30,single
17476__modularsamples__rol,302645__modularsamples__roland-juno-6-pulse-bass-e3-pulse-bass-52-64.aiff,164.81,81.93,-12.10,55.59,1.88,-3.02,0.53,-0.67,0.52,-0.53,single
17476__modularsamples__rol,302646__modularsamples__roland-juno-6-pulse-bass-e3-pulse-bass-52-127.aiff,164.81,82.41,-12.00,53.21,2.44,-6.19,0.61,0.14,0.41,-0.61,single
17476__modularsamples__rol,302647__modularsamples__roland-juno-6-pulse-bass-e3-pulse-bass-53-64.aiff,174.61,86.80,-12.10,55.48,1.86,-3.04,0.52,-0.50,0.44,-0.52,single
17476__modularsamples__rol,302648__modularsamples__roland-juno-6-pulse-bass-e3-pulse-bass-53-127.aiff,174.61,87.31,-12.00,56.11,2.10,-4.79,-0.12,-0.99,-0.09,0.12,single
17476__modularsamples__rol,302649__modularsamples__roland-juno-6-pulse-bass-f3-pulse-bass-54-64.aiff,185.00,91.97,-12.10,56.08,1.89,-3.17,0.62,-0.40,0.37,-0.62,single
17476__modularsamples__rol,302650__modularsamples__roland-juno-6-pulse-bass-f3-pulse-bass-54-127.aiff,185.00,92.50,-12.00,56.97,2.15,-5.02,0.79,-0.83,0.66,-0.79,single
17476__modularsamples__rol,302651__modularsamples__roland-juno-6-pulse-bass-f3-pulse-bass-55-64.aiff,196.00,97.43,-12.10,53.45,1.97,-3.02,0.33,-0.20,-0.04,-0.33,single
17476__modularsamples__rol,302652__modularsamples__roland-juno-6-pulse-bass-f3-pulse-bass-55-127.aiff,196.00,98.00,-12.00,54.69,2.26,-5.19,0.31,-0.75,0.77,-0.31,single
17476__modularsamples__rol,302653__modularsamples__roland-juno-6-pulse-bass-g3-pulse-bass-56-64.aiff,207.65,103.23,-12.10,52.44,1.99,-3.03,0.32,-0.07,-0.13,-0.32,single
17476__modularsamples__rol,302654__modularsamples__roland-juno-6-pulse-bass-g3-pulse-bass-56-127.aiff,207.65,103.83,-12.00,57.66,2.11,-4.52,0.22,-1.10,0.03,-0.22,single
17476__modularsamples__rol,302655__modularsamples__roland-juno-6-pulse-bass-a3-pulse-bass-57-64.aiff,220.00,110.00,-12.00,50.81,2.04,-3.75,0.13,-0.73,-0.14,-0.13,single
17476__modularsamples__rol,302656__modularsamples__roland-juno-6-pulse-bass-a3-pulse-bass-57-127.aiff,220.00,110.00,-12.00,57.30,2.16,-4.18,0.39,-0.55,0.86,-0.39,single
17476__modularsamples__rol,302657__modularsamples__roland-juno-6-pulse-bass-a3-pulse-bass-58-64.aiff,233.08,115.87,-12.10,51.31,2.08,-3.48,0.65,-0.05,0.09,-0.65,single
17476__modularsamples__rol,302658__modularsamples__roland-juno-6-pulse-bass-a3-pulse-bass-58-127.aiff,233.08,116.54,-12.00,50.83,2.32,-5.77,0.18,-0.38,0.21,-0.18,single
17476__modularsamples__rol,302659__modularsamples__roland-juno-6-pulse-bass-b3-pulse-bass-59-64.aiff,246.94,122.76,-12.10,56.68,1.94,-3.46,0.52,0.23,-0.14,-0.52,single
17476__modularsamples__rol,302660__modularsamples__roland-juno-6-pulse-bass-b3-pulse-bass-59-127.aiff,246.94,123.47,-12.00,56.98,2.28,-6.05,0.30,0.19,0.44,-0.30,single
17476__modularsamples__rol,302661__modularsamples__roland-juno-6-pulse-bass-c4-pulse-bass-60-64.aiff,261.63,130.06,-12.10,54.70,2.03,-3.36,0.65,0.13,-0.03,-0.65,single
17476__modularsamples__rol,302662__modularsamples__roland-juno-6-pulse-bass-c4-pulse-bass-60-127.aiff,261.63,130.81,-12.00,56.04,2.37,-6.30,0.55,-0.26,0.57,-0.55,single
