filename,est_E,est_rho,est_h,est_Ly,est_T0,est_op_x,est_op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y,est_mu,est_D_div_mu,est_T0_div_mu,refined_mu,refined_D_div_mu,refined_T0_div_mu,refined_Ly,refined_op_x,refined_op_y,gt_mu,gt_D_div_mu,gt_T0_div_mu,mu_orig,mu_refined,mu_gt,mu_orig_err,mu_refined_err,loss_orig,loss_refined,loss_delta,nmse_orig,nmse_refined,nmse_delta,nmse_summary_orig,sanity_ok,sanity_grid_min_mu,elapsed_s
random_IR_0042.npz,133128162971.89069,13548.75795559,0.00292352,2.48727372,905.25770458,0.91283775,0.60302544,87945741567.89664,9359.39059523681,0.0029895654619946,2.487273890415965,639.4761216735596,0.9128376892651804,0.6030254768323514,39.610064858326474,7.4650044496897605,22.854234342151166,27.980526858280115,7.4650044496897605,22.854234342151166,2.48727372,0.91283775,0.60302544,27.980510868837047,7.46501794118445,22.854340461158927,39.610064858326474,27.980526858280115,27.980510868837047,11.629553989489427,1.5989443067354614e-05,1.257199766513395e-08,1.0311860957137875e-12,-1.2570966479038236e-08,0.002095317556165629,1.9872989193795637e-14,-0.002095317556145756,0.00209533,True,29.724736842105266,0.571
random_IR_0043.npz,219043552825.0136,19419.91110011,0.00192245,2.58282509,103.3033309,0.98080888,0.95421211,215856681820.5389,18639.20052752765,0.0018972681158989,2.5828250493847227,97.85350604918912,0.98080898245087,0.9542121946183776,37.33380809440647,3.7054488412654565,2.767018318591438,35.36391265105232,3.7054488412654565,2.767018318591438,2.58282509,0.98080888,0.95421211,35.363560866724164,3.7054683686932335,2.767071631105615,37.33380809440647,35.36391265105232,35.363560866724164,1.9702472276823073,0.00035178432815285987,7.041976446409137e-10,1.4727121432078771e-12,-7.027249324977058e-10,6.0140243713910825e-05,1.9339016924631635e-12,-6.014024178000913e-05,6.015e-05,True,35.183684210526316,0.79
random_IR_0044.npz,67960585981.72466,19708.97975548,0.00400504,3.34473721,272.13757966,0.57491893,0.53617928,102531823752.15424,10086.134022579578,0.0023325806081145,3.3447372648260525,81.1105789740969,0.5749189410314117,0.5361793190755444,78.9352522798876,4.916478732555161,3.447605116850175,23.526734280431235,4.916478732555161,3.447605116850175,3.34473721,0.57491893,0.53617928,23.52672063191302,4.916485320456032,3.4475939185537725,78.9352522798876,23.526734280431235,23.52672063191302,55.408531647974584,1.3648518216058392e-05,5.4013653993933985e-08,9.956065919608514e-13,-5.4012658387342025e-08,0.04756385166535404,4.3925548295258866e-15,-0.04756385166534965,0.04756393,True,24.26578947368421,0.877
random_IR_0045.npz,87492056195.12036,5254.25169224,0.0010006,3.20422373,746.09882361,0.55390556,0.83930344,79166878635.77364,5192.596933527051,0.0010457098345001,3.2042236562106785,770.5830426952912,0.5539054867769166,0.8393034256034181,5.257404243255344,1.4819250016188144,141.91391589626392,5.429948979283202,1.4819250016188144,141.91391589626392,3.20422373,0.55390556,0.83930344,5.4299496799843,1.4819336920135209,141.9134776765591,5.257404243255344,5.429948979283202,5.4299496799843,-0.17254543672895561,-7.007010980331074e-07,8.080633939755444e-09,1.3004691941376212e-11,-8.067629247814068e-09,4.6124415061427506e-07,1.9328583664453634e-13,-4.6124395732843843e-07,4.6e-07,True,7.888947368421054,1.455
random_IR_0046.npz,70450391314.56606,16558.53159547,0.00402438,1.81156489,744.17550611,0.64246066,0.57442652,178237772194.83322,18608.362067981325,0.0026821578667203,1.81156490857325,557.3732176360037,0.6424606735669702,0.5744265716526525,66.63782338217757,6.125013217587842,11.167464186848445,49.91060447117818,6.125013217587842,11.167464186848445,1.81156489,0.64246066,0.57442652,49.91056470741574,6.125023329071169,11.167439617311901,66.63782338217757,49.91060447117818,49.91056470741574,16.727258674761835,3.97637624445224e-05,2.024050438365066e-08,1.1116071171185515e-12,-2.023939277653354e-08,0.004334842068467783,2.749906542955714e-14,-0.004334842068440284,0.00433487,True,51.560526315789474,0.477
random_IR_0047.npz,78282894023.20451,20667.0689845,0.0044758,1.26058551,998.54606393,0.85085646,0.64892414,171542044338.7951,11005.442655849018,0.0022063945379237,1.260585529221474,262.12552805818586,0.85085646836304,0.6489242348252616,92.50166736082511,6.744920031086228,10.79489799935097,24.28235720427962,6.744920031086228,10.79489799935097,1.26058551,0.85085646,0.64892414,24.28234856329777,6.744921369975301,10.794900146289093,92.50166736082511,24.28235720427962,24.28234856329777,68.21931879752734,8.640981850049911e-06,1.2758589207351179e-07,1.6370159351339342e-12,-1.2758425505757665e-07,0.07210053550657343,7.466313199556709e-15,-0.07210053550656596,0.07210054,True,24.26578947368421,0.351
random_IR_0048.npz,150433072935.1485,3842.74061881,0.00194181,2.20178825,975.15813731,0.89156068,0.8909297,173640577983.92307,3498.7438369449173,0.0017246038469476,2.2017881721103496,788.5476268513956,0.8915607440111406,0.8909297053058891,7.461872161011446,13.120887148801627,130.6854521584056,6.033964343282129,13.120887148801627,130.6854521584056,2.20178825,0.89156068,0.8909297,6.033947080679411,13.120949225399345,130.6852075942646,7.461872161011446,6.033964343282129,6.033947080679411,1.4279250803320345,1.7262602717948994e-05,3.1139315126438305e-08,9.743169812614916e-12,-3.112957195662569e-08,3.1588905444987985e-05,8.237581499400494e-14,-3.158890536261217e-05,3.159e-05,True,7.888947368421054,0.413
random_IR_0049.npz,96026486506.68423,9790.53151897,0.00322362,1.85232517,983.22591847,0.60655652,0.73532931,123740478280.33698,7559.05176557998,0.0024952525517302,1.8523254366015292,587.6037592000371,0.6065565972909635,0.7353293830404436,31.56095321518207,9.059827518332808,31.153238996502466,18.861769621009252,9.059827518332808,31.153238996502466,1.85232517,0.60655652,0.73532931,18.86174320672412,9.059849120916661,31.15320534056254,31.56095321518207,18.861769621009252,18.86174320672412,12.69921000845795,2.6414285130726967e-05,5.848025352861441e-08,2.7984552609244817e-12,-5.847745507335349e-08,0.0024984872865617147,2.3109719422284155e-14,-0.002498487286538605,0.0024985,True,18.806842105263158,0.418
random_IR_0050.npz,153031994796.5801,11649.43140121,0.003543,1.22937566,62.07926343,0.79299594,0.98012234,113941945230.415,12184.10079803269,0.0041991835382824,1.229375673636931,76.96567742216287,0.792996044927374,0.9801223370083784,41.27393545448703,14.657749429542324,1.5040790936559734,51.16327470055266,14.657749429542324,1.5040790936559734,1.22937566,0.79299594,0.98012234,51.16327549987233,14.657750949654648,1.504314895209454,41.27393545448703,51.16327470055266,51.16327549987233,-9.889340045385296,-7.993196646793876e-07,4.7306913941724815e-09,4.170156516110357e-13,-4.7302743785208705e-09,0.001515159503562351,6.239291560062811e-14,-0.001515159503499958,0.00151516,True,51.560526315789474,0.268
random_IR_0051.npz,112535522192.86578,12995.4643278,0.00136594,2.97215372,556.93234292,0.84388225,0.646022,149035156689.62817,12018.316823583104,0.0011414497430219,2.972153708922411,430.4081354836662,0.8438823301958805,0.6460220878885654,17.751024543915133,1.436178935699562,31.37465905374519,13.718294554316401,1.436178935699562,31.37465905374519,2.97215372,0.84388225,0.646022,13.71830464983471,1.4361709796905844,31.374732262477643,17.751024543915133,13.718294554316401,13.71830464983471,4.032719894080422,-1.0095518309327645e-05,2.7918945377791715e-08,6.196423148890906e-12,-2.7912748954642824e-08,0.0002519531827308319,1.6943670766550676e-14,-0.0002519531827138882,0.00025195,True,13.347894736842106,1.373
