filename,target_npz,runtime,best_loss,optimizer,loss_name,num_particles,max_iter,w,c1,c2,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0041.npz,random_IR_0041.npz,0.274,2.21426272,PSO,MSS,10,5,0.2,2.0,1.0,1.18455601,0.05987942,True,50.75054862,14.17076632,6.69432377,110225626508.30618,12121.0264786,0.00418698,1.46510812,339.74060422,0.69868518,0.91554931,120126728243.6296,2678.85292587,0.00439577,1.94975883,617.88051315,0.58258902,0.9910964
random_IR_0042.npz,random_IR_0042.npz,0.246,1.72130144,PSO,MSS,10,5,0.2,2.0,1.0,0.93399972,0.04297114,True,39.80248274,12.63918311,10.63946282,141895502544.8362,11649.46039604,0.00341668,2.16361666,423.47703515,0.74828812,0.77139112,87945741567.89664,9359.39059524,0.00298957,2.48727389,639.47612167,0.91283769,0.60302548
random_IR_0043.npz,random_IR_0043.npz,0.319,2.19810081,PSO,MSS,10,5,0.2,2.0,1.0,1.31920218,0.09431848,True,24.28775742,10.23859169,27.75784767,188243383753.69385,9878.71832783,0.00245859,3.95548547,674.17587072,0.96494642,0.67501018,215856681820.5389,18639.20052753,0.00189727,2.58282505,97.85350605,0.98080898,0.95421219
random_IR_0044.npz,random_IR_0044.npz,0.291,1.44517183,PSO,MSS,10,5,0.2,2.0,1.0,0.70211124,0.0578948,True,46.82423693,5.52010984,10.8085294,93090216073.53851,14867.85799651,0.00314936,2.22113401,506.10114141,0.68347444,0.68909399,102531823752.15424,10086.13402258,0.00233258,3.34473726,81.11057897,0.57491894,0.53617932
random_IR_0045.npz,random_IR_0045.npz,0.324,1.60348654,PSO,MSS,10,5,0.2,2.0,1.0,0.81003523,0.0699998,True,33.42675469,5.94631213,12.06689868,153867446465.2632,13697.61588435,0.00244033,2.28773601,403.35726203,0.62086857,0.66362889,79166878635.77364,5192.59693353,0.00104571,3.20422366,770.5830427,0.55390549,0.83930343
random_IR_0046.npz,random_IR_0046.npz,0.471,1.6493299,PSO,MSS,10,5,0.2,2.0,1.0,0.67385292,0.02657829,True,22.15346803,2.27665123,14.68899532,136508867764.15598,13778.38855844,0.00160784,2.31930613,325.4121883,0.75194261,0.61493753,178237772194.83322,18608.36206798,0.00268216,1.81156491,557.37321764,0.64246067,0.57442657
random_IR_0047.npz,random_IR_0047.npz,0.384,1.50703549,PSO,MSS,10,5,0.2,2.0,1.0,0.73564911,0.15917529,True,59.95714963,11.01380411,9.33994515,117295581855.07967,15041.50341838,0.00398611,3.77240607,559.99648868,0.72268328,0.58381884,171542044338.7951,11005.44265585,0.00220639,1.26058553,262.12552806,0.85085647,0.64892423
random_IR_0048.npz,random_IR_0048.npz,0.316,1.985309,PSO,MSS,10,5,0.2,2.0,1.0,1.02749348,0.06023936,True,23.34196913,12.22378442,19.25111162,157041735607.70587,8537.10495977,0.00273418,2.51003974,449.3588532,0.65629969,0.95744589,173640577983.92307,3498.74383694,0.0017246,2.20178817,788.54762685,0.89156074,0.89092971
random_IR_0049.npz,random_IR_0049.npz,0.244,1.35268044,PSO,MSS,10,5,0.2,2.0,1.0,0.65509862,0.00265718,True,18.2999018,10.20059069,17.54366132,196020611557.4481,8301.19224041,0.00220449,1.70352527,321.04727937,0.56223811,0.76622109,123740478280.33698,7559.05176558,0.00249525,1.85232544,587.6037592,0.6065566,0.73532938
random_IR_0050.npz,random_IR_0050.npz,0.217,2.0842452,PSO,MSS,10,5,0.2,2.0,1.0,1.32463872,0.04678987,True,46.3104466,17.88476114,15.53613981,202497773244.57858,12923.52065193,0.00358342,1.8071967,719.48557316,0.83823323,0.74568595,113941945230.415,12184.10079803,0.00419918,1.22937567,76.96567742,0.79299604,0.98012234
random_IR_0051.npz,random_IR_0051.npz,0.376,1.47333324,PSO,MSS,10,5,0.2,2.0,1.0,0.82023519,0.10482462,True,22.80153642,1.11051852,23.02755499,100362024342.69992,16104.22275445,0.00141587,1.41291904,525.06363389,0.60971048,0.80357699,149035156689.62817,12018.31682358,0.00114145,2.97215371,430.40813548,0.84388233,0.64602209
random_IR_0052.npz,random_IR_0052.npz,0.272,1.61158597,PSO,MSS,10,5,0.2,2.0,1.0,0.75147569,0.12399941,True,25.78864371,41.66204735,22.66715206,206906933312.02246,6646.29538689,0.00388015,3.71340782,584.55510839,0.71069645,0.58006682,205309545104.02023,5948.06076492,0.0025707,1.47369564,956.40615874,0.77646492,0.7338866
random_IR_0053.npz,random_IR_0053.npz,0.265,1.76290739,PSO,MSS,10,5,0.2,2.0,1.0,0.82292914,0.01968178,True,29.73716487,15.56291794,6.84837415,163676670765.65076,9385.28470063,0.00316849,3.22495785,203.65123128,0.70486768,0.80902408,205318792113.84653,9931.67604802,0.00283442,3.65792009,724.17039494,0.84811226,0.85281481
random_IR_0054.npz,random_IR_0054.npz,0.277,2.32603025,PSO,MSS,10,5,0.2,2.0,1.0,1.38381815,0.05945021,True,48.7310813,19.34503213,6.26061866,176390065464.29712,12439.07481655,0.00391758,3.49331091,305.08671714,0.91687557,0.85385997,91562439840.24425,6942.38113954,0.00402711,2.05038916,636.06469484,0.90023182,0.97999164
random_IR_0055.npz,random_IR_0055.npz,0.236,1.80639291,PSO,MSS,10,5,0.2,2.0,1.0,0.88420314,0.12420092,True,22.2753356,3.53095008,15.90755137,137546754199.4272,11977.09753316,0.00185983,1.1,354.34604538,0.90040706,0.58001255,212636794955.40863,11025.80092305,0.00336394,2.4286026,857.72406697,0.79211807,0.91217589
random_IR_0056.npz,random_IR_0056.npz,0.401,1.53847826,PSO,MSS,10,5,0.2,2.0,1.0,0.69848675,0.06721329,True,31.78617649,6.95168994,17.87368521,185542327088.4442,13383.16671864,0.00237509,3.66817926,568.13611271,0.79922023,0.61535514,127960441568.8106,14253.29065436,0.0042621,3.73564678,159.4228693,0.54072935,0.7177758
random_IR_0057.npz,random_IR_0057.npz,0.408,1.40715957,PSO,MSS,10,5,0.2,2.0,1.0,0.67782879,0.08615601,True,20.40064973,9.08975672,24.63341157,130820053130.72125,8104.9905434,0.00251705,2.32934076,502.53760111,0.70361041,0.60985854,121371433816.20525,20458.87517103,0.00439615,1.85018379,33.3142935,0.68478638,0.51800097
random_IR_0058.npz,random_IR_0058.npz,0.214,2.1086421,PSO,MSS,10,5,0.2,2.0,1.0,1.08366525,0.046095,True,48.05366424,26.97173961,11.81756799,148469441242.46082,10415.40601106,0.00461371,1.94039138,567.87744432,0.81037233,0.83490272,211631134622.2992,4302.76068816,0.00260504,1.63717374,929.29212439,0.93604938,0.73253957
random_IR_0059.npz,random_IR_0059.npz,0.31,1.76702499,PSO,MSS,10,5,0.2,2.0,1.0,0.6953541,0.06218756,True,30.43512456,37.15745035,17.96338962,160363457580.4498,7083.02948975,0.00429691,2.38645021,546.71800056,0.76594212,0.7778391,69387727860.36472,3051.80231974,0.00193098,2.04743256,614.46856183,0.7201099,0.5433563
random_IR_0060.npz,random_IR_0060.npz,0.286,1.49529445,PSO,MSS,10,5,0.2,2.0,1.0,0.68663979,0.0929653,True,9.25365698,3.54997893,23.7111791,142283670319.53278,6731.8513634,0.00137461,1.36858013,219.41511798,0.85278736,0.59882235,68841542103.34111,4893.83834685,0.00188464,1.83062887,253.19866181,0.56658731,0.81305533
