filename,mu_orig,mu_refined,mu_gt,mu_orig_err,mu_refined_err,loss_orig,loss_refined,loss_delta,nmse_orig,nmse_refined,nmse_delta,nmse_summary_orig,sanity_ok,sanity_grid_min_mu,elapsed_s
random_IR_0026.npz,25.080271164526902,37.32232852867806,37.32381691662698,-12.24354575210008,-0.0014883879489246965,5.2273875894570665e-08,6.428957366466648e-11,-5.2209586320906e-08,0.0023224070754075373,1.080282636202734e-09,-0.002322405995124901,0.00232237,True,35.183684210526316,2.514
random_IR_0027.npz,29.06238316685338,27.26711745219093,27.268428864868287,1.7939543019850923,-0.0013114126773565715,3.2253728576847607e-09,1.8598927953306088e-11,-3.2067739297314546e-09,4.985998106730354e-05,6.723142301174301e-10,-4.985930875307342e-05,4.986e-05,True,29.724736842105266,3.121
random_IR_0028.npz,56.36572508163636,15.3767847859717,15.376889476434885,40.98883560520148,-0.00010469046318384301,5.680312753497674e-08,2.2160205961907486e-11,-5.678096732901483e-08,0.02602884501071749,9.178420553648637e-11,-0.026028844918933286,0.02602878,True,13.347894736842106,1.077
random_IR_0029.npz,57.2890034797415,21.376572607488534,21.378771398509343,35.91023208123216,-0.002198791020809665,8.816370922204442e-08,3.789029159873003e-11,-8.812581893044569e-08,0.01997837517349928,4.0858873779707343e-10,-0.01997837476491054,0.01997844,True,24.26578947368421,2.006
random_IR_0030.npz,26.918023123803245,16.70438098682633,16.703231222404114,10.214791901399131,0.0011497644222160375,8.897036707367079e-08,9.252125454661808e-11,-8.887784581912417e-08,0.0016165265489437924,2.4834838916638836e-10,-0.0016165263005954032,0.00161648,True,18.806842105263158,3.493
random_IR_0031.npz,13.171579670222059,13.782455878027527,13.783674566328989,-0.6120948961069299,-0.0012186883014617678,2.7852724571175713e-09,3.0870812850469775e-11,-2.7544016442671015e-09,5.8046856536582675e-06,2.5632023726678746e-10,-5.804429333421001e-06,5.8e-06,True,13.347894736842106,4.822
random_IR_0032.npz,40.71926359998028,47.79983322512968,47.8003898971751,-7.081126297194821,-0.0005566720454197593,5.486868293047564e-09,1.1205611091802403e-11,-5.475662681955762e-09,0.0007768360023903365,1.6690955820896238e-09,-0.0007768343332947543,0.00077684,True,46.101578947368424,1.408
random_IR_0033.npz,13.879364130381818,31.183623305930006,31.183811632867084,-17.304447502485267,-0.0001883269370779317,4.202268755193472e-08,1.6789845555531535e-11,-4.200589770637919e-08,0.004639167871140912,9.392816842448689e-09,-0.00463915847832407,0.00463916,True,29.724736842105266,0.629
random_IR_0034.npz,34.216341908537295,19.45284932379751,19.45216809892151,14.764173809615784,0.0006812248759970885,5.619990872673952e-08,2.819542516130369e-11,-5.617171330157822e-08,0.0033770862694372608,9.64882687111551e-10,-0.0033770853045545736,0.00337708,True,18.806842105263158,1.036
random_IR_0035.npz,16.371591540838192,15.532069638257816,15.529387035670123,0.8422045051680698,0.0026826025876935944,4.603607273168109e-09,7.19242582158941e-11,-4.531683014952215e-09,1.099280973145412e-05,3.904002202279249e-09,-1.098890572925184e-05,1.099e-05,True,13.347894736842106,0.892
