testId,uuid,trial_id,trial_type,stimulus,score,comment,time
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299765__modularsamples__moog-minitaur-doubles-c3-doubles-48-95-26fu,mushra,r13_synth_magx_halfw,45,,41837
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299765__modularsamples__moog-minitaur-doubles-c3-doubles-48-95-26fu,mushra,r13_synth_logx_halfw,30,,41837
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299765__modularsamples__moog-minitaur-doubles-c3-doubles-48-95-26fu,mushra,reference,100,,41837
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299765__modularsamples__moog-minitaur-doubles-c3-doubles-48-95-26fu,mushra,anchor,58,,41837
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299765__modularsamples__moog-minitaur-doubles-c3-doubles-48-95-26fu,mushra,r13_synth_hybridx,35,,41837
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299786__modularsamples__moog-minitaur-doubles-f3-doubles-55-95-e4l5,mushra,reference,100,,18943
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299786__modularsamples__moog-minitaur-doubles-f3-doubles-55-95-e4l5,mushra,r13_synth_logx_halfw,33,,18943
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299786__modularsamples__moog-minitaur-doubles-f3-doubles-55-95-e4l5,mushra,r13_synth_magx_halfw,80,,18943
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299786__modularsamples__moog-minitaur-doubles-f3-doubles-55-95-e4l5,mushra,anchor,67,,18943
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299786__modularsamples__moog-minitaur-doubles-f3-doubles-55-95-e4l5,mushra,r13_synth_hybridx,40,,18943
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299785__modularsamples__moog-minitaur-doubles-f3-doubles-55-64-lfut,mushra,reference,100,,17869
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299785__modularsamples__moog-minitaur-doubles-f3-doubles-55-64-lfut,mushra,r13_synth_magx_halfw,56,,17869
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299785__modularsamples__moog-minitaur-doubles-f3-doubles-55-64-lfut,mushra,r13_synth_hybridx,27,,17869
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299785__modularsamples__moog-minitaur-doubles-f3-doubles-55-64-lfut,mushra,anchor,69,,17869
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299785__modularsamples__moog-minitaur-doubles-f3-doubles-55-64-lfut,mushra,r13_synth_logx_halfw,43,,17869
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299771__modularsamples__moog-minitaur-doubles-d3-doubles-50-95-no9v,mushra,reference,100,,28070
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299771__modularsamples__moog-minitaur-doubles-d3-doubles-50-95-no9v,mushra,r13_synth_magx_halfw,37,,28070
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299771__modularsamples__moog-minitaur-doubles-d3-doubles-50-95-no9v,mushra,anchor,62,,28070
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299771__modularsamples__moog-minitaur-doubles-d3-doubles-50-95-no9v,mushra,r13_synth_hybridx,28,,28070
moog12,7c227e64-6fa0-4a22-8e63-8862f65b09a6,moog-minitaur__299771__modularsamples__moog-minitaur-doubles-d3-doubles-50-95-no9v,mushra,r13_synth_logx_halfw,33,,28070
