filename,target_npz,runtime,best_loss,n_restarts_run,best_popsize,loss_name,ir_peak_abs,effective_tolfun,effective_tolfunhist,effective_early_stop_loss,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0012.npz,random_IR_0012.npz,11.45054483413696,4.449738104025935e-13,1,52,L1_STFT,3.05400000415661e-08,3.05400000415661e-13,3.05400000415661e-13,3.05400000415661e-10,4.433390774719742e-13,7.352297293140813e-14,True,19.36850973221408,75.58896188609215,13.8335316777604,159917225811.0643,4131.986735821471,0.004687456899196331,2.033414526287864,267.934892931594,0.5827327294720215,0.9095876471875879,171795304999.0543,4231.855736750321,0.0045768351888768,2.033414598885624,267.929719822328,0.5827327531511756,0.9095877142251808
random_IR_0013.npz,random_IR_0013.npz,237.3867495059967,1.329323695391238e-12,39,56,L1_STFT,8.651721349080895e-08,8.651721349080896e-13,8.651721349080896e-13,8.651721349080895e-10,1.368497004085312e-12,6.519630404675578e-15,True,7.881458324208393,7.184102831388333,86.99925228312087,101408773088.0239,4271.573440872134,0.001845094889109345,3.306304088526172,685.6809811067089,0.8861188776605865,0.6635080060360935,88357173222.22702,4079.84069050188,0.0019318046948742,3.306304067544882,685.6812917534172,0.8861188674297255,0.6635080484239854
random_IR_0014.npz,random_IR_0014.npz,67.2882342338562,1.466764318509839e-12,2,42,L1_STFT,5.784628008009391e-08,5.784628008009392e-13,5.784628008009392e-13,5.784628008009391e-10,1.521885373799436e-12,6.417543427071066e-15,True,12.94621275234761,4.088320810908527,61.23991811256355,136493040725.5629,7923.179581035323,0.001633966846256427,2.399947839576257,792.8250088215935,0.9299625994556797,0.8944295021586235,131745580422.6945,7830.235265896437,0.0016533627051064,2.399947849326092,792.8262365988965,0.9299625520837528,0.8944294943564441
random_IR_0015.npz,random_IR_0015.npz,32.45133113861084,1.889381256699532e-13,1,60,L1_STFT,8.772218952426516e-09,8.772218952426518e-14,8.772218952426518e-14,8.772218952426517e-11,1.98545214015293e-13,2.223429907420494e-14,True,36.52871458837216,19.12361840191582,24.54680413432938,82956855557.16475,8013.080213388384,0.004558635832365611,3.580481564583639,896.6632022795918,0.8947364564752032,0.8038322511356109,92012562918.73552,8294.649771701363,0.0044038930564607,3.580481458533993,896.663262916428,0.8947364102951698,0.8038322468495592
random_IR_0016.npz,random_IR_0016.npz,11.91787505149841,9.233819221396433e-13,1,50,L1_STFT,1.11316629209747e-07,1.11316629209747e-12,1.11316629209747e-12,1.11316629209747e-09,9.37560792890757e-13,3.521669379127212e-14,True,13.07629546133543,44.83465078656905,6.764300047058392,80766367468.51285,3014.009120880131,0.004338505603963459,2.157157756903358,88.45198600446068,0.5429652106920944,0.5179452377406316,73142117275.21841,2916.01660673801,0.0044842979457622,2.157157817850675,88.4535622817293,0.5429653697033617,0.5179452601781795
random_IR_0017.npz,random_IR_0017.npz,36.24381542205811,4.583620809295308e-13,2,36,L1_STFT,5.099624906363556e-08,5.099624906363557e-13,5.099624906363557e-13,5.099624906363556e-10,4.382072775390572e-13,2.048393674448732e-14,True,39.6605209786233,9.313673720178061,24.73679463711934,191329642947.3194,14214.83587076956,0.002790079416968757,2.198377596541085,981.074162649368,0.6135696381514124,0.7345584921445361,95330344283.08632,11269.15687873243,0.0035193865517333,2.198377649309912,981.0787090095127,0.613569571861467,0.7345584152464713
random_IR_0018.npz,random_IR_0018.npz,176.3019874095917,1.028918486870034e-12,12,51,L1_STFT,3.055003883501545e-08,3.055003883501545e-13,3.055003883501545e-13,3.055003883501545e-10,1.031967697059932e-12,5.031253012167155e-15,True,27.79791111573833,1.637100793051913,17.95023399068359,116874087026.2808,16989.14558496824,0.001636215957813296,2.191819116047488,498.9790089797274,0.9524584525600491,0.9679709763568338,90372893724.6644,15593.54520210935,0.0017826550248376,2.191819165540783,498.9780251398913,0.9524584095478827,0.9679710355644012
random_IR_0019.npz,random_IR_0019.npz,37.70883750915527,5.550771431037105e-13,1,59,L1_STFT,5.591936501919363e-08,5.591936501919363e-13,5.591936501919363e-13,5.591936501919363e-10,5.959623528180302e-13,1.972671606459434e-14,True,24.19561908752455,6.914284897484697,31.58306523386427,90663509224.9633,8803.770983899463,0.002748324454574528,2.897411743391351,764.1718160150193,0.5211564939197014,0.5769496105159126,168397407874.8547,10821.8823520505,0.0022358038300817,2.897412086552189,764.1707263732216,0.5211563559903387,0.5769495780987526
random_IR_0020.npz,random_IR_0020.npz,64.65025424957275,2.284979117809366e-13,2,42,L1_STFT,1.353770024549495e-08,1.353770024549495e-13,1.353770024549495e-13,1.353770024549495e-10,2.20139377104904e-13,2.830093229515482e-14,True,39.40994874920811,10.93089777040916,16.3066223545154,84402129035.43149,10215.3267417643,0.003857923465931309,3.379657327005977,642.6431512641433,0.8613126151059016,0.9270326990623945,171812989638.9318,12946.51837496676,0.0030440564753912,3.379657554276918,642.636819327029,0.8613126079761624,0.9270326916970042
random_IR_0021.npz,random_IR_0021.npz,46.52029752731323,1.347036902594329e-13,1,60,L1_STFT,5.067011437810972e-09,5.067011437810973e-14,5.067011437810973e-14,5.067011437810972e-11,1.387129750255942e-13,1.286808480318964e-13,True,82.45384477298062,11.04818120899096,3.143152887163304,86662252390.50217,16798.46096789427,0.004908416606174157,2.352956389301406,259.1650402559089,0.9672717223413969,0.557308244518702,109847350512.2471,18179.79859724855,0.0045354605751169,2.352956394106629,259.1749919940892,0.967271765908868,0.5573082681468599
random_IR_0022.npz,random_IR_0022.npz,14.80690097808838,2.526422647475268e-12,1,49,L1_STFT,2.966762326907413e-07,2.966762326907413e-12,2.966762326907413e-12,2.966762326907413e-09,2.39181157518642e-12,1.156043777241527e-14,True,7.711841004111751,18.23756915201081,81.81644204834997,67213267288.36457,2690.815304415413,0.002865986748126947,1.66251163331699,630.9553925989981,0.5882812304204331,0.6931556011482991,174231935349.7436,3696.363566413558,0.0020863309911573,1.6625115897018,630.9556514997648,0.5882812026429403,0.693155697363482
random_IR_0023.npz,random_IR_0023.npz,142.2594649791718,1.145580700613602e-12,2,53,L1_STFT,1.021626997342652e-07,1.021626997342652e-12,1.021626997342652e-12,1.021626997342652e-09,1.20059181780291e-12,4.075161067082962e-15,True,17.20685287659521,0.6071773693393501,48.40879092741298,116231001632.8625,17142.95127819939,0.001003727572770803,3.709688856289969,832.9629434218522,0.6805354292210966,0.6433048853004967,92998792433.80562,15914.90288179124,0.0010811787443044,3.709688967956792,832.9627484726163,0.6805354948936875,0.6433049125048381
random_IR_0024.npz,random_IR_0024.npz,694.38139295578,1.128844630618464e-12,33,53,L1_STFT,8.503088025293499e-08,8.503088025293499e-13,8.503088025293499e-13,8.503088025293498e-10,1.102363859917244e-12,6.257219195782275e-15,True,15.68693006115205,1.736530393174279,11.147590249243,114715570306.7504,11305.44841237375,0.001387554875221296,3.403432815971401,174.8714685902555,0.6480994461365797,0.9070176586958982,72600364889.17963,9706.440907799471,0.0016161366955367,3.403433100741448,174.8721613959949,0.6480994691214876,0.9070177155619846
random_IR_0025.npz,random_IR_0025.npz,7.479535818099976,1.034766890228855e-12,1,40,L1_STFT,9.021930013901915e-08,9.021930013901916e-13,9.021930013901916e-13,9.021930013901915e-10,1.153477161876248e-12,6.630122692362938e-14,True,13.74478556279191,81.20293429915259,16.58434054926547,102522715304.4201,2767.731334729325,0.004966083734473493,1.716713654561368,227.9482045499685,0.647029335310673,0.7123514195626748,194534468974.477,3426.48984952179,0.0040113318600607,1.716713633911108,227.95092902703,0.6470295334764338,0.7123513827161793
random_IR_0026.npz,random_IR_0026.npz,26.94352221488953,7.334771895753378e-13,6,38,L1_STFT,9.795582093558694e-08,9.795582093558694e-13,9.795582093558694e-13,9.795582093558695e-10,7.552369103366874e-13,1.996226564406767e-14,True,21.42213962168101,24.9685756823468,12.80090859298319,209191021864.4156,6991.560933734204,0.003063999559571801,2.119487531183474,274.222851163262,0.6114658557677177,0.5193922870752222,110289440789.6312,5648.126395892639,0.0037927861908284,2.119487530782475,274.2255485241445,0.6114658551182591,0.5193923584613812
random_IR_0027.npz,random_IR_0027.npz,17.09726166725159,5.898892485589613e-13,1,38,L1_STFT,5.009056319468963e-08,5.009056319468964e-13,5.009056319468964e-13,5.009056319468964e-10,6.203645453242701e-13,3.87194212021218e-15,True,44.85741926028587,8.1216058004151,4.76838444851031,122819587226.6164,13933.08407259148,0.003219489599472619,1.601311977680715,213.897420401054,0.8449430454248099,0.588948772616572,81724109036.15346,12163.95644957693,0.0036877337546579,1.601311955507494,213.896594756653,0.844943052184834,0.5889488021695506
random_IR_0028.npz,random_IR_0028.npz,34.41419649124146,7.51730925771521e-13,1,59,L1_STFT,7.66234653317143e-08,7.662346533171431e-13,7.662346533171431e-13,7.66234653317143e-10,8.239149922213695e-13,1.625578795336723e-14,True,15.92868585782153,10.01306559265585,16.33787265234884,69337296818.06731,5385.20705104043,0.002957859504165969,2.865042140358103,260.2408410643581,0.6092141431364659,0.8230484891643961,194026107063.0591,7588.693271595212,0.0020990038818654,2.865042362062996,260.2391623695299,0.6092141385653854,0.8230485019076061
random_IR_0029.npz,random_IR_0029.npz,68.73057627677917,5.504090564399655e-13,1,55,L1_STFT,3.64640377718596e-08,3.64640377718596e-13,3.64640377718596e-13,3.64640377718596e-10,5.698135106119162e-13,1.199792474492418e-14,True,19.83576823931393,3.066037774279943,34.73023520452528,81414192999.65913,9756.395184392204,0.002033104221838636,3.80951839071978,688.900896413825,0.856759593724485,0.7992995614431215,85020243378.60498,9898.358237535904,0.0020039435280324,3.80951837356329,688.9002877779654,0.8567596866637578,0.7992995173293855
random_IR_0030.npz,random_IR_0030.npz,47.69594168663025,1.478645764857456e-12,1,48,L1_STFT,2.007102201600707e-07,2.007102201600707e-12,2.007102201600707e-12,2.007102201600708e-09,1.347712523178113e-12,9.807162428147585e-15,True,22.41957823761378,1.753934333426875,8.615230098831866,82741169545.50423,12821.44262644479,0.00174860028553826,2.172038830963763,193.1498252358061,0.5972535364973471,0.6501229260221819,191467949269.416,16958.79409232109,0.0013220026589513,2.172038671595251,193.1500308887301,0.5972534284529234,0.6501229438397951
