step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/BFRQ_0,train/param_grad/CF_DELAY_0,train/param_grad/CF_DEPTH_0,train/param_grad/CF_MIX_0,train/param_grad/CF_RATE_0,train/param_grad/CUTOFF_0,train/param_grad/M_OSC_0,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/param,val_id/param_group/chorus_delay_ms,val_id/param_group/chorus_depth,val_id/param_group/chorus_mix,val_id/param_group/chorus_rate,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/mfcc03,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
3049,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3099,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3149,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3199,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3249,12,12,0.000886385,10,0,0,6.08331e-05,0.015625,0.015625,0.015625,0.015625,0.015625,6.0835e-05,0.015625,0.015625,0.878576,5.88179,11.9966,1.48648,0.134334,0.0958529,0.213017,0.202659,0.12886,0.138926,0.0702004,0.0505056,0.00916294,0.0503359,0.0948624,0,4.713,0,5.93668,16.7745,2.57851,0.331501,0,0,8.42752,0
3299,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3349,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3449,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3499,13,13,0.000877521,10,0,0,6.08206e-05,0.015625,0.015625,0.015625,0.015625,0.015625,6.06976e-05,0.015625,0.015625,0.847414,5.97858,12.5327,1.50568,0.142421,0.090596,0.201147,0.194947,0.111548,0.124239,0.0665879,0.0506217,0.010496,0.0497074,0.0966662,0,5.69612,0,5.98063,16.9679,2.59296,0.345926,0,0,10.0632,0
3549,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3599,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3649,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3699,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
