filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,fixed_mu,mu,D_div_mu,T0_div_mu,Ly,op_x,op_y,gt_mu,gt_D_div_mu,gt_T0_div_mu,gt_Ly,gt_op_x,gt_op_y
random_IR_0040.npz,random_IR_0040.npz,524.245,0.00022877,60,L1_STFT,1.739e-05,0.0,True,54.29,54.29,3.10329882,24.48483008,3.88855039,0.8189082,0.93840073,38.7825703,3.10331121,24.477989,3.88855345,0.81891949,0.9384011
random_IR_0041.npz,random_IR_0041.npz,126.077,0.00013581,60,L1_STFT,3.218e-05,0.0,True,54.29,54.29,77.02107991,52.5056975,1.94976085,0.58259108,0.99109029,11.77563263,77.02097488,52.47110982,1.94975883,0.58258902,0.9910964
random_IR_0042.npz,random_IR_0042.npz,232.317,0.00016558,47,L1_STFT,1.772e-05,0.0,True,54.29,54.29,7.46498832,22.85303031,2.48726765,0.91283515,0.60302647,27.98051087,7.46501794,22.85434046,2.48727389,0.91283769,0.60302548
random_IR_0043.npz,random_IR_0043.npz,340.378,0.00023021,52,L1_STFT,4.488e-05,0.0,True,54.29,54.29,3.70546756,2.77227598,2.58282791,0.98081089,0.95421317,35.36356087,3.70546837,2.76707163,2.58282505,0.98080898,0.95421219
random_IR_0044.npz,random_IR_0044.npz,353.63,0.00015906,55,L1_STFT,7.7e-06,0.0,True,54.29,54.29,4.91637127,3.44923931,3.34472187,0.5749253,0.53617917,23.52672063,4.91648532,3.44759392,3.34473726,0.57491894,0.53617932
random_IR_0045.npz,random_IR_0045.npz,711.744,0.00010532,60,L1_STFT,1.664e-05,0.0,True,54.29,54.29,1.48192842,141.91184786,3.20422127,0.5539067,0.83930475,5.42994968,1.48193369,141.91347768,3.20422366,0.55390549,0.83930343
random_IR_0046.npz,random_IR_0046.npz,287.73,0.0001491,60,L1_STFT,7.75e-06,0.0,True,54.29,54.29,6.12498739,11.16812112,1.81156517,0.64246314,0.57441655,49.91056471,6.12502333,11.16743962,1.81156491,0.64246067,0.57442657
random_IR_0047.npz,random_IR_0047.npz,254.399,0.00028498,36,L1_STFT,9.86e-06,0.0,True,54.29,54.29,6.74488754,10.80046785,1.26058088,0.85087672,0.64893389,24.28234856,6.74492137,10.79490015,1.26058553,0.85085647,0.64892423
random_IR_0048.npz,random_IR_0048.npz,254.878,0.00013338,53,L1_STFT,1.75e-05,0.0,True,54.29,54.29,13.12083121,130.68569776,2.20178648,0.89156562,0.89092922,6.03394708,13.12094923,130.68520759,2.20178817,0.89156074,0.89092971
random_IR_0049.npz,random_IR_0049.npz,253.583,0.00015034,56,L1_STFT,9.51e-06,0.0,True,54.29,54.29,9.06001135,31.14848478,1.85233233,0.60655859,0.73533146,18.86174321,9.05984912,31.15320534,1.85232544,0.6065566,0.73532938
random_IR_0050.npz,random_IR_0050.npz,178.44,0.00015671,42,L1_STFT,3.821e-05,0.0,True,54.29,54.29,14.65774101,1.51512933,1.2293753,0.79299424,0.98012882,51.1632755,14.65775095,1.5043149,1.22937567,0.79299604,0.98012234
random_IR_0051.npz,random_IR_0051.npz,542.98,0.00021126,60,L1_STFT,1.143e-05,0.0,True,54.29,54.29,1.43614644,31.37792868,2.97214344,0.8438857,0.64602354,13.71830465,1.43617098,31.37473226,2.97215371,0.84388233,0.64602209
