step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/M_OSC_0,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
3999,15,15,0.000860058,10,0,0,0.000113602,0.03125,0.000112106,0.03125,0.03125,0.388139,6.54851,11.8542,1.18041,0.0838959,3.86187,0.0404192,0.0624747,0.0363267,0.00489234,0.0352553,0.0631472,0,6.01813,0,
4049,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,
4099,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,
4149,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,
4199,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,
4249,16,16,0.000851458,10,0,0,0.000113928,0.03125,0.000112104,0.03125,0.03125,0.382875,6.32598,11.778,1.16935,0.0823477,3.7679,0.0378558,0.0620129,0.0371621,0.00469058,0.0261455,0.0592679,0,5.88018,0,
4299,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,
4349,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,
4399,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,
4449,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,
4499,17,17,0.000842943,10,0,0,0.000113554,0.03125,0.000112461,0.03125,0.03125,0.377869,6.51908,12.5408,1.19845,0.0979502,4.16996,0.0384315,0.0636731,0.0365511,0.00554472,0.0262733,0.0601153,0,6.84055,0,
4549,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,
4599,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,
4649,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,
4699,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,
