main_loss,sub_loss,lambda,input_len,n_fft,n_targets,monotonicity,autocorr_length,entropy,metamodel_r2,metamodel_slope,skewness,kurtosis,fdc_7d_global,fdc_6d_global,fdc_7d_q0,fdc_6d_q0,fdc_7d_q1,fdc_6d_q1,fdc_7d_q2,fdc_6d_q2,fdc_7d_q3,fdc_6d_q3,fdc_7d_q4,fdc_6d_q4
l1_stft,waveform_l2,0.5,4096,2048,20,0.6893939393939394,27.75,1.1476595774864962,0.12019898532951062,0.3343795775757219,1.065980076789856,1.483175277709961,0.11157894736842104,0.15924812030075186,0.17819548872180446,0.20601503759398493,0.10225563909774435,0.13834586466165413,-0.03157894736842105,0.1,0.10827067669172931,0.07368421052631578,0.20075187969924813,0.2781954887218045
l1_stft,waveform_l2,1.0,4096,2048,20,0.7121212121212122,27.0,1.1372142545077846,0.10520689715473408,0.3511567302300798,0.6624152958393097,0.5652804374694824,0.07699248120300752,0.12150375939849622,0.13233082706766916,0.12330827067669173,0.030827067669172925,0.06616541353383458,-0.05263157894736842,0.06466165413533834,0.10751879699248118,0.08571428571428569,0.16691729323308271,0.26766917293233083
l1_stft,waveform_l2,0.25,4096,4096,20,0.6666666666666666,28.75,1.155968739262764,0.12834754717457572,0.49887175386327054,1.4985740184783936,2.2380764484405518,0.09097744360902256,0.19052631578947365,0.15639097744360902,0.20827067669172927,0.04586466165413533,0.1300751879699248,-0.027819548872180452,0.08646616541353383,0.051127819548872175,0.17669172932330823,0.22932330827067668,0.3511278195488722
l1_stft,waveform_l2,0.5,4096,4096,20,0.6767676767676767,27.25,1.1430328170521717,0.1305235680676995,0.46745290157572783,1.3117737174034119,2.023183822631836,0.09669172932330825,0.18195488721804512,0.16992481203007517,0.17518796992481203,0.060902255639097735,0.09699248120300752,-0.021804511278195486,0.14285714285714285,0.04511278195488721,0.1548872180451128,0.22932330827067665,0.33984962406015035
l1_stft,waveform_l2,1.0,4096,4096,20,0.6868686868686869,24.25,1.1412365102950504,0.11125630513015256,0.4367853699874331,1.0433688759803772,1.085416316986084,0.08962406015037593,0.14902255639097745,0.16992481203007515,0.15187969924812028,0.048120300751879695,0.10375939849624059,-0.03909774436090225,0.13909774436090225,0.06390977443609022,0.08872180451127819,0.20526315789473681,0.2616541353383458
l1_stft,waveform_l2,0.25,8192,1024,20,0.6691919191919191,25.25,1.11442802761732,0.08661782529801035,0.17102672329698243,0.8982448875904083,0.7765069007873535,0.06796992481203008,0.16105263157894736,0.21654135338345867,0.10902255639097744,-0.004511278195488721,0.054887218045112776,-0.0037593984962406013,0.0706766917293233,0.017293233082706763,0.2233082706766917,0.11428571428571427,0.34736842105263155
l1_stft,waveform_l2,0.5,8192,1024,20,0.6691919191919191,25.0,1.1254862577702012,0.08801565387751217,0.1750418097177765,0.5782431364059448,0.4181854724884033,0.07248120300751879,0.1514285714285714,0.19999999999999998,0.10751879699248121,-0.017293233082706763,0.08571428571428572,0.03984962406015038,0.0857142857142857,0.023308270676691726,0.16541353383458646,0.11654135338345864,0.31278195488721805
l1_stft,waveform_l2,1.0,8192,1024,20,0.6717171717171717,23.5,1.1092211784488737,0.08244704524090807,0.17401303107083937,0.2336069792509079,0.015056252479553223,0.0869172932330827,0.11563909774436087,0.23684210526315785,0.09473684210526315,0.03609022556390977,0.0744360902255639,0.04962406015037594,0.012781954887218045,0.05639097744360902,0.1270676691729323,0.0556390977443609,0.269172932330827
l1_stft,waveform_l2,0.25,8192,2048,20,0.6843434343434344,26.0,1.130063811802977,0.08942196265694,0.2435864427744324,1.2206677198410034,1.4926722049713135,0.09488721804511277,0.1855639097744361,0.1969924812030075,0.16165413533834586,0.07744360902255638,0.10827067669172931,0.012781954887218044,0.10300751879699246,0.03609022556390977,0.2578947368421053,0.15112781954887217,0.2969924812030075
l1_stft,waveform_l2,0.5,8192,2048,20,0.6868686868686869,25.5,1.1302437394509348,0.0939278742727206,0.2297831602407739,0.9736375212669373,0.9628638029098511,0.09067669172932329,0.16962406015037595,0.1827067669172932,0.13609022556390976,0.07669172932330827,0.11428571428571427,0.04210526315789473,0.10075187969924812,0.03834586466165413,0.2112781954887218,0.11353383458646617,0.2857142857142857
