step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
4349,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,,,
4399,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,,,
4449,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,,,
4499,17,17,0.000842943,10,0,0,4.85211e-05,4.91068e-05,0.0260416,9.39256e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.481423,6.04822,15.3902,1.3354,0.0592297,0,5.07737,0,6.26255,17.634,2.65124,0,0,10.7184,0
4549,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,,,
4599,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,,,
4649,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,,,
4699,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,,,
4749,18,18,0.000834514,10,0,0,4.85879e-05,4.90911e-05,0.0260416,9.37744e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.468094,6.0999,15.8874,1.38561,0.0574011,0,5.55914,0,6.04095,17.5153,2.60318,0,0,10.3436,0
4799,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,,,
4849,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,,,
4899,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,,,
4949,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,,,
4999,19,19,0.000826169,10,0,0,4.84241e-05,4.89099e-05,0.0260416,9.3938e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.455118,6.09089,15.4666,1.33579,0.0556795,0,5.36136,0,6.15645,17.6772,2.66793,0,0,10.6377,0
5049,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,,,
5099,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,,,
5149,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,,,
5199,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,,,
5249,20,20,0.000817907,10,0,0,4.85066e-05,4.89542e-05,0.0260416,9.35268e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.45108,6.22307,15.4831,1.34986,0.0564391,0,5.20026,0,6.53621,17.7453,2.72009,0,0,10.4711,0
5299,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,,,
5349,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,,,
5399,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,,,
5449,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,,,
5499,21,21,0.000809728,10,0,0,4.85996e-05,4.89048e-05,0.0260416,9.3553e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.439923,6.13548,15.5271,1.33634,0.0556431,0,5.66552,0,6.3887,17.8212,2.73852,0,0,11.4821,0
5549,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,,,
5599,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,,,
5649,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,,,
5699,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,,,
5749,22,22,0.000801631,10,0,0,4.84736e-05,4.88205e-05,0.0260416,9.32729e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.426452,6.09951,15.5104,1.34342,0.0545746,0,5.2183,0,6.41269,17.637,2.67562,0,0,10.8216,0
5799,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,,,
5849,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,,,
5899,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,,,
5949,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,,,
5999,23,23,0.000793614,10,0,0,4.8388e-05,4.88391e-05,0.0260416,9.32801e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.422123,6.1743,15.3892,1.32635,0.0560962,0,6.11703,0,6.51777,17.742,2.73117,0,0,12.8673,0
6049,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,,,
6099,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,,,
6149,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,,,
6199,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,,,
6249,24,24,0.000785678,10,0,0,4.84906e-05,4.88903e-05,0.0260416,9.34484e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.417232,6.17144,15.698,1.33405,0.0548403,0,5.45281,0,6.37597,17.9851,2.74399,0,0,11.2052,0
6299,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,,,
6349,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,,,
6399,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,,,
6449,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,,,
6499,25,25,0.000777821,10,0,0,4.83041e-05,4.86753e-05,0.0260416,9.27693e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.397413,6.09655,15.4138,1.31501,0.0537211,0,5.56181,0,6.19812,17.6027,2.64014,0,0,11.526,0
6549,26,,0.000770043,,,,,,,,,,,,,,,,,,,,,,,,,,
6599,26,,0.000770043,,,,,,,,,,,,,,,,,,,,,,,,,,
6649,26,,0.000770043,,,,,,,,,,,,,,,,,,,,,,,,,,
6699,26,,0.000770043,,,,,,,,,,,,,,,,,,,,,,,,,,
6749,26,26,0.000770043,10,0,0,4.83311e-05,4.8735e-05,0.0260416,9.30926e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.395643,6.39736,16.0383,1.37957,0.0557312,0,6.67654,0,6.21248,17.6977,2.65018,0,0,10.7938,0
6799,27,,0.000762343,,,,,,,,,,,,,,,,,,,,,,,,,,
6849,27,,0.000762343,,,,,,,,,,,,,,,,,,,,,,,,,,
6899,27,,0.000762343,,,,,,,,,,,,,,,,,,,,,,,,,,
6949,27,,0.000762343,,,,,,,,,,,,,,,,,,,,,,,,,,
6999,27,27,0.000762343,10,0,0,4.82632e-05,4.86986e-05,0.0260416,9.26451e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.388222,6.05006,15.0977,1.32055,0.0535546,0,4.92936,0,6.33642,17.5028,2.65605,0,0,9.9733,0
7049,28,,0.000754719,,,,,,,,,,,,,,,,,,,,,,,,,,
7099,28,,0.000754719,,,,,,,,,,,,,,,,,,,,,,,,,,
7149,28,,0.000754719,,,,,,,,,,,,,,,,,,,,,,,,,,
7199,28,,0.000754719,,,,,,,,,,,,,,,,,,,,,,,,,,
7249,28,28,0.000754719,10,0,0,4.82034e-05,4.86878e-05,0.02604,9.3361e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.380529,6.19772,15.4268,1.32685,0.0531647,0,5.60846,0,6.29713,17.68,2.64097,0,0,11.2307,0
7299,29,,0.000747172,,,,,,,,,,,,,,,,,,,,,,,,,,
7349,29,,0.000747172,,,,,,,,,,,,,,,,,,,,,,,,,,
7399,29,,0.000747172,,,,,,,,,,,,,,,,,,,,,,,,,,
7449,29,,0.000747172,,,,,,,,,,,,,,,,,,,,,,,,,,
7499,29,29,0.000747172,10,0,0,4.8174e-05,4.86401e-05,0.0260416,9.24131e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.372648,6.05052,14.8588,1.30101,0.0532935,0,5.0639,0,6.27238,17.6421,2.66787,0,0,11.6723,0
7549,30,,0.0007397,,,,,,,,,,,,,,,,,,,,,,,,,,
7599,30,,0.0007397,,,,,,,,,,,,,,,,,,,,,,,,,,
7649,30,,0.0007397,,,,,,,,,,,,,,,,,,,,,,,,,,
7699,30,,0.0007397,,,,,,,,,,,,,,,,,,,,,,,,,,
7749,30,30,0.0007397,10,0,0,4.80895e-05,4.85947e-05,0.0260416,9.26371e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.367373,6.0715,15.4459,1.30505,0.0536643,0,5.28926,0,5.98639,17.4304,2.55967,0,0,10.1388,0
7799,31,,0.000732303,,,,,,,,,,,,,,,,,,,,,,,,,,
7849,31,,0.000732303,,,,,,,,,,,,,,,,,,,,,,,,,,
7899,31,,0.000732303,,,,,,,,,,,,,,,,,,,,,,,,,,
7949,31,,0.000732303,,,,,,,,,,,,,,,,,,,,,,,,,,
7999,31,31,0.000732303,10,0,0,4.80514e-05,4.85348e-05,0.0260416,9.24144e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.361972,5.99099,16.2697,1.3596,0.0536665,0,5.55748,0,6.15029,17.4839,2.62088,0,0,9.68559,0
8049,32,,0.00072498,,,,,,,,,,,,,,,,,,,,,,,,,,
8099,32,,0.00072498,,,,,,,,,,,,,,,,,,,,,,,,,,
8149,32,,0.00072498,,,,,,,,,,,,,,,,,,,,,,,,,,
8199,32,,0.00072498,,,,,,,,,,,,,,,,,,,,,,,,,,
8249,32,32,0.00072498,10,0,0,4.79806e-05,4.84863e-05,0.0260416,9.22809e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.355705,6.21419,15.9484,1.36447,0.0543318,0,5.9896,0,6.22087,17.745,2.69306,0,0,11.3049,0
8299,33,,0.000717731,,,,,,,,,,,,,,,,,,,,,,,,,,
8349,33,,0.000717731,,,,,,,,,,,,,,,,,,,,,,,,,,
8399,33,,0.000717731,,,,,,,,,,,,,,,,,,,,,,,,,,
8449,33,,0.000717731,,,,,,,,,,,,,,,,,,,,,,,,,,
8499,33,33,0.000717731,10,0,0,4.79641e-05,4.84358e-05,0.0260416,9.19931e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.342678,6.11419,15.0123,1.29059,0.052493,0,5.67119,0,6.14887,17.6246,2.65199,0,0,11.2013,0
8549,34,,0.000710553,,,,,,,,,,,,,,,,,,,,,,,,,,
8599,34,,0.000710553,,,,,,,,,,,,,,,,,,,,,,,,,,
8649,34,,0.000710553,,,,,,,,,,,,,,,,,,,,,,,,,,
8699,34,,0.000710553,,,,,,,,,,,,,,,,,,,,,,,,,,
8749,34,34,0.000710553,10,0,0,4.7971e-05,4.84212e-05,0.0260416,9.22532e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.337663,6.13955,15.2316,1.29499,0.0527498,0,5.49872,0,6.39576,17.6909,2.7215,0,0,10.9411,0
8799,35,,0.000703448,,,,,,,,,,,,,,,,,,,,,,,,,,
8849,35,,0.000703448,,,,,,,,,,,,,,,,,,,,,,,,,,
8899,35,,0.000703448,,,,,,,,,,,,,,,,,,,,,,,,,,
8949,35,,0.000703448,,,,,,,,,,,,,,,,,,,,,,,,,,
8999,35,35,0.000703448,10,0,0,4.79031e-05,4.84445e-05,0.0260416,9.22306e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.334696,6.09357,15.0718,1.27928,0.0516159,0,5.28845,0,6.12586,17.5396,2.62225,0,0,10.3731,0
9049,36,,0.000696413,,,,,,,,,,,,,,,,,,,,,,,,,,
9099,36,,0.000696413,,,,,,,,,,,,,,,,,,,,,,,,,,
9149,36,,0.000696413,,,,,,,,,,,,,,,,,,,,,,,,,,
9199,36,,0.000696413,,,,,,,,,,,,,,,,,,,,,,,,,,
9249,36,36,0.000696413,10,0,0,4.78356e-05,4.83928e-05,0.0260416,9.2047e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.330268,5.99636,14.5969,1.25501,0.053927,0,4.67385,0,5.96131,17.3813,2.57872,0,0,9.68238,0
9299,37,,0.000689449,,,,,,,,,,,,,,,,,,,,,,,,,,
9349,37,,0.000689449,,,,,,,,,,,,,,,,,,,,,,,,,,
9399,37,,0.000689449,,,,,,,,,,,,,,,,,,,,,,,,,,
9449,37,,0.000689449,,,,,,,,,,,,,,,,,,,,,,,,,,
9499,37,37,0.000689449,10,0,0,4.79024e-05,4.84007e-05,0.02604,9.18013e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.327977,6.01747,15.0679,1.29056,0.0521381,0,4.95707,0,6.14104,17.4406,2.6096,0,0,10.5337,0
9549,38,,0.000682555,,,,,,,,,,,,,,,,,,,,,,,,,,
9599,38,,0.000682555,,,,,,,,,,,,,,,,,,,,,,,,,,
9649,38,,0.000682555,,,,,,,,,,,,,,,,,,,,,,,,,,
9699,38,,0.000682555,,,,,,,,,,,,,,,,,,,,,,,,,,
