step,epoch,epoch,lr-Adam,lw/log_mag_w,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
53399,213,,0.00011757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53449,213,,0.00011757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53499,213,213,0.00011757,1,0,0,1,0,5.36788e-05,4.82277e-05,0.424626,2.88896e-05,0.104121,0.000472174,0.000146687,0.000857776,0,0.246533,0.246533,0,6.25821,12.6216,1.301,0.0670581,0.0737622,0.0359688,0.0040197,0.0604694,0.12611,0.102019,0,0.255991,0,6.69864,16.5895,2.4695,0,0,0.409216,0
53549,214,,0.000116394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53599,214,,0.000116394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53649,214,,0.000116394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53699,214,,0.000116394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53749,214,214,0.000116394,1,0,0,1,0,5.54099e-05,4.95968e-05,0.439705,2.95803e-05,0.104056,0.000474343,0.000150651,0.000848725,0,0.240472,0.240472,0,6.2352,12.5953,1.30567,0.0693225,0.0729479,0.0375029,0.00405506,0.0684928,0.129757,0.10318,0,0.257879,0,6.57277,16.5243,2.45668,0,0,0.404535,0
53799,215,,0.00011523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53849,215,,0.00011523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53899,215,,0.00011523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53949,215,,0.00011523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53999,215,215,0.00011523,1,0,0,1,0,5.50955e-05,4.94745e-05,0.420424,2.93755e-05,0.097052,0.00049374,0.000140177,0.000855964,0,0.248962,0.248962,0,6.44606,13.5959,1.37307,0.0862789,0.0818344,0.0397319,0.0058221,0.134974,0.138052,0.117259,0,0.281944,0,6.55694,16.6341,2.49673,0,0,0.402808,0
