filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_div_mu,T0_div_mu,Ly,op_x,op_y,gt_mu,gt_D_div_mu,gt_T0_div_mu,gt_Ly,gt_op_x,gt_op_y
random_IR_0035.npz,random_IR_0035.npz,163.236,0.00031924,36,L1_STFT,1.308e-05,0.09957517,True,95.69970384,31.37128671,55.63921588,1.90512631,0.57473711,0.86125762,15.52937491,31.37181837,55.62728523,1.90512325,0.57471337,0.86126124
random_IR_0036.npz,random_IR_0036.npz,229.699,0.00040319,49,L1_STFT,2.713e-05,0.0286156,True,59.78525596,25.99873646,10.89676399,2.24857103,0.6842405,0.97080169,16.80791379,25.99834553,10.90486337,2.24857314,0.68425024,0.97081165
random_IR_0037.npz,random_IR_0037.npz,207.249,0.00023282,58,L1_STFT,3.483e-05,0.02407962,True,55.39619909,53.73963248,56.60070434,3.31944441,0.79638755,0.9813503,15.97199393,53.73990798,56.58158316,3.31944324,0.79639327,0.98134883
random_IR_0038.npz,random_IR_0038.npz,194.676,0.00017721,60,L1_STFT,1.612e-05,0.00493301,True,23.22134689,26.17282792,18.71131595,1.94722573,0.83825539,0.89472699,5.3772787,26.17302868,18.65310411,1.94722783,0.83825911,0.89472493
random_IR_0039.npz,random_IR_0039.npz,238.565,0.00016782,60,L1_STFT,2.974e-05,0.0040275,True,54.79831519,18.63918068,1.64468623,1.91701857,0.93948811,0.67569939,38.67493295,18.63921116,1.65390401,1.91701731,0.93948757,0.67569789
random_IR_0040.npz,random_IR_0040.npz,527.182,0.00024984,59,L1_STFT,1.739e-05,0.00986703,True,13.54594514,3.10327864,24.47331838,3.88855805,0.81892436,0.93840023,38.7825703,3.10331121,24.477989,3.88855345,0.81891949,0.9384011
random_IR_0041.npz,random_IR_0041.npz,100.812,0.00028397,31,L1_STFT,3.218e-05,0.03378299,True,58.47243729,77.02114246,52.54855813,1.94976048,0.5825866,0.99112041,11.77563263,77.02097488,52.47110982,1.94975883,0.58258902,0.9910964
random_IR_0042.npz,random_IR_0042.npz,271.663,0.00014683,33,L1_STFT,1.772e-05,0.05126297,True,85.50331027,7.46502667,22.8662611,2.48727547,0.91284119,0.60302439,27.98051087,7.46501794,22.85434046,2.48727389,0.91283769,0.60302548
random_IR_0043.npz,random_IR_0043.npz,371.231,0.00017784,48,L1_STFT,4.488e-05,0.04461031,True,89.02418981,3.70548097,2.76768356,2.58282615,0.98080664,0.95421115,35.36356087,3.70546837,2.76707163,2.58282505,0.98080898,0.95421219
random_IR_0044.npz,random_IR_0044.npz,442.205,0.00016734,58,L1_STFT,7.7e-06,0.00429738,True,40.18154132,4.91657978,3.4415051,3.34473978,0.57493415,0.53617408,23.52672063,4.91648532,3.44759392,3.34473726,0.57491894,0.53617932
