CMA-ES full   L1_STFT,DDSP  l1_stft_tgtnorm,CMA-ES 1rst   l1_stft,CMA-ES 1rst   mss,CMA-ES 1rst   smoothmss,CMA-ES 1rst   l1_stft_pow,CMA-ES 1rst   l1_stft_c2,CMA-ES 1rst   l1_stft_log
,1.866170367e-05,7.666678161e-02,1.092867926e-02,1.431951132e-04,2.216945066e-01,2.035788265e-01,1.249003632e-01
,4.622784127e-05,2.685662506e-02,1.831101640e-02,1.218737407e-01,1.163307224e-01,1.240464374e-01,1.043003586e-01
,8.604643740e-03,3.808912943e-09,9.746979580e-08,7.514487492e-08,5.635048408e-02,3.381507300e-02,5.368115862e-02
,1.418188534e-04,1.333982907e-01,1.877522627e-02,1.309985556e-06,4.612489417e-02,6.246193623e-02,1.928232815e-01
,4.619594914e-05,4.076766133e-02,3.523593988e-02,4.362656520e-02,2.244385718e-01,7.808727506e-02,8.278735943e-02
,3.126243428e-04,4.466501727e-09,2.859919974e-02,1.295378587e-01,6.725416040e-02,1.023373408e-01,3.643742669e-02
,2.062556014e-05,1.527393862e-01,3.949683935e-02,2.874874982e-01,3.448686155e-02,1.240961040e-01,4.170704469e-02
,6.282114699e-02,1.107886471e-01,1.244787112e-10,1.012691106e-01,5.474860589e-02,8.420128197e-02,5.750438397e-02
,8.106814998e-06,3.788428697e-09,5.395731908e-10,4.766181725e-08,4.763071702e-02,3.693615589e-02,5.492581379e-02
,8.807589375e-05,3.058109006e-08,3.673725834e-05,1.323617106e-07,2.977644206e-02,2.303293474e-02,6.763123704e-02
,8.874661513e-05,8.192745624e-02,6.033869114e-02,6.348518943e-02,2.752479659e-02,4.567234844e-02,5.040100071e-02
,7.217963539e-03,2.188554095e-05,1.187324542e-01,1.368427919e-01,6.629716305e-02,2.771470245e-01,3.199511409e-02
,2.492908940e-05,6.638947892e-04,1.001799110e-02,4.557389769e-02,1.480737383e-02,2.172763620e-02,2.620756551e-02
,2.892058298e-04,2.054097309e-01,1.233606723e-01,1.816648468e-01,2.146122462e-02,3.192160010e-02,5.428183777e-02
,2.091500761e-02,5.175834749e-01,4.428698441e-01,5.304195172e-01,1.003814871e-01,3.839207030e-01,2.902970059e-01
,4.927288788e-04,1.608925340e-01,1.809569763e-01,1.637557284e-01,1.354318312e-01,2.904816857e-02,1.315782360e-01
,3.813007675e-05,2.950287282e-09,1.581725712e-01,1.817515006e-06,9.569607885e-02,6.987981677e-02,1.551881741e-01
,3.085356264e-02,9.425382013e-02,8.061979262e-03,1.409689362e-08,1.913811152e-02,1.195645022e-10,9.785632820e-03
,3.986175366e-04,6.115252182e-02,2.451124590e-02,1.459035040e-01,1.145016908e-01,2.435100671e-02,1.089203492e-01
,3.393506062e-05,3.858840292e-10,4.367915337e-01,6.550864302e-07,2.500204750e-01,1.272952013e-03,2.576601452e-01
,3.280251816e-03,4.206771427e-09,6.397867918e-10,2.234322734e-03,8.255018183e-02,7.312309223e-02,5.846522488e-03
,2.964779104e-04,1.660206089e-09,1.341183485e-08,3.589356596e-07,4.546805666e-02,5.163041376e-02,4.773286964e-02
,1.837087458e-05,2.775120461e-01,2.356408491e-01,2.633776465e-01,2.109861748e-01,1.502267674e-01,1.762258659e-01
,2.826558858e-04,7.669007054e-10,1.096508983e-11,1.224083241e-03,1.640197996e-02,2.429308134e-09,3.555215710e-02
,1.292354056e-04,5.229968357e-02,5.095261235e-03,1.251320506e-09,1.320650390e-02,3.877499125e-02,3.054348800e-02
,2.524400789e-05,6.573615432e-10,5.888434658e-02,4.469362635e-02,1.244806753e-01,1.225658843e-01,7.519862035e-02
,1.341784498e-05,3.802995160e-02,2.012249007e-02,3.154913486e-07,8.975032980e-02,7.339106508e-02,5.960407688e-02
,6.126308815e-04,2.943216124e-02,2.569548174e-01,2.653716039e-01,1.485805663e-02,2.063458387e-01,2.019776893e-01
,2.990341684e-04,2.426099822e-01,4.066737688e-07,7.084970930e-02,2.205745690e-01,2.197726685e-01,7.582404571e-02
,6.208426894e-04,1.399372322e-01,1.437005016e-01,1.507731670e-01,2.400678971e-02,1.182262765e-02,4.892232524e-02
,6.252674472e-05,1.345437297e-10,1.086278572e-09,3.783789366e-02,3.066357882e-02,2.632401269e-02,2.606060784e-02
,9.652489924e-05,1.196247416e-10,3.165915168e-02,3.289756655e-02,3.635789528e-02,5.023792515e-02,3.576726046e-02
,2.553833691e-05,4.069429209e-10,6.936666729e-02,1.029509957e-08,4.368107525e-02,3.813398443e-02,5.685515863e-02
,1.520408178e-04,2.008699919e-02,2.262512309e-02,3.322918442e-03,4.695143331e-02,5.746469697e-02,7.761561925e-02
,8.931088487e-04,8.641739649e-02,1.133565369e-04,5.096786372e-02,1.665546976e-02,5.184633725e-02,6.878285766e-02
,1.008017107e-04,2.742865098e-01,2.896415733e-03,2.281202384e-01,2.339383159e-02,1.634660492e-01,1.289124963e-01
,3.549001201e-03,1.804243403e-09,1.404396299e-01,1.950866841e-01,1.400812943e-01,7.673076596e-02,1.068740533e-01
,6.087891735e-03,2.952747339e-12,3.417974457e-04,2.265637456e-02,1.267339341e-02,5.682594172e-02,9.749928361e-03
,2.219504908e-04,5.266468270e-10,9.934643387e-02,9.133171335e-02,1.966285129e-01,8.334963910e-02,1.633059612e-01
,6.605662225e-05,5.240461915e-02,5.983640581e-02,2.276227219e-02,1.569902191e-01,1.247991517e-01,1.644732399e-01
,5.428796410e-05,3.519088356e-03,2.906576210e-02,3.025669562e-03,1.245977688e-02,5.737425124e-02,5.512557514e-02
,2.450402961e-05,1.591373362e-09,3.295033628e-02,2.028997617e-01,1.260167793e-02,1.958601492e-01,1.404680121e-02
,2.500826801e-04,8.114309894e-03,2.790517136e-10,5.343752678e-03,1.731894899e-01,1.234126384e-01,1.525859130e-01
,4.372339076e-04,5.818905644e-03,4.128094833e-04,6.236951440e-02,1.762680647e-01,1.855232532e-01,1.386829604e-01
,1.821040908e-04,1.894714940e-02,9.597241829e-09,2.305878462e-08,1.143499178e-01,9.495657137e-02,4.084624897e-02
,6.316652157e-05,5.100791993e-02,4.559215437e-02,3.150682255e-02,2.139777500e-02,9.894088217e-03,1.814164795e-02
,2.256504628e-04,8.646071305e-02,1.823183810e-01,1.811833205e-01,1.266830956e-01,8.609211693e-02,7.811922341e-02
,1.009825600e-04,1.629776899e-01,2.322864822e-02,2.682490771e-01,1.661633898e-01,5.021366248e-02,6.461607864e-02
,5.155807857e-04,7.132765305e-02,1.467870113e-01,6.894632772e-03,3.269661786e-02,2.368524993e-02,5.506565804e-02
,3.247450059e-05,4.657145067e-02,3.739673943e-02,4.834036310e-02,6.917243354e-02,9.018666761e-02,1.402009520e-01
,1.422451129e-02,1.197800626e-09,1.393688416e-04,3.312883238e-07,3.404000576e-02,3.136177670e-02,3.887068895e-02
,7.316089830e-05,1.279124662e-09,1.897253294e-10,1.234503592e-01,7.979378540e-02,7.378097226e-02,1.858792570e-01
,1.659204164e-05,2.599794559e-02,3.374624659e-02,6.404182046e-02,1.885092351e-02,2.807138180e-02,2.665565346e-02
,5.728239598e-05,1.984196216e-10,7.895835007e-03,1.948560505e-02,8.505332006e-02,1.170564174e-01,1.068101515e-01
,1.080674922e-05,1.344805542e-03,3.183794647e-02,1.410092817e-01,1.479696143e-01,1.417634519e-01,6.380618460e-02
,2.096655748e-04,1.345844652e-01,7.588480165e-02,6.854836451e-02,1.877791208e-01,4.844096470e-02,1.909055112e-01
,5.225052674e-06,1.652960657e-10,3.347644094e-02,9.967154518e-02,4.061447353e-02,1.735937781e-02,1.033442546e-02
