step,epoch,final_spec_losses_weighted/1024_spectrogram_logmag_eps,final_spec_losses_weighted/128_spectrogram_logmag_eps,final_spec_losses_weighted/2048_spectrogram_logmag_eps,final_spec_losses_weighted/256_spectrogram_logmag_eps,final_spec_losses_weighted/512_spectrogram_logmag_eps,final_spec_losses_weighted/64_spectrogram_logmag_eps,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
46,,,,,,,,15.112664222717285,,,,,,,,,,,,0.0,1.0,,0.0,10.25095272064209,14.403185844421387,14.445127487182617,,,,,,,
47,,,,,,,,12.62176513671875,,,,,,,,,,,,0.0,1.0,,0.0,11.10782241821289,14.411754608154297,14.445127487182617,,,,,,,
48,,,,,,,,13.353616714477539,,,,,,,,,,,,0.0,1.0,,0.0,9.991300582885742,14.400588989257812,14.445127487182617,,,,,,,
49,1.0,1.9950686693191528,2.042555570602417,1.9601891040802002,2.043452739715576,1.9949488639831543,1.8180277347564697,12.359485626220703,,,,,,,,,,,,0.0,1.0,1.6666666851961054e-05,0.0,11.854242324829102,14.419219017028809,14.445127487182617,,11.854242324829102,11.854242324829102,0.43371692299842834,11.854242324829102,0.0,11.854242324829102
50,,,,,,,,10.08822250366211,,,,,,,,,,,,0.0,1.0,,0.0,9.808080673217773,14.398756980895996,14.445127487182617,,,,,,,
51,,,,,,,,12.679557800292969,,,,,,,,,,,,0.0,1.0,,0.0,11.553262710571289,14.41620922088623,14.445127487182617,,,,,,,
52,,,,,,,,10.842514038085938,,,,,,,,,,,,0.0,1.0,,0.0,9.808876037597656,14.398765563964844,14.445127487182617,,,,,,,
53,,,,,,,,15.445416450500488,,,,,,,,,,,,0.0,1.0,,0.0,10.130086898803711,14.4019775390625,14.445127487182617,,,,,,,
54,,,,,,,,10.800337791442871,,,,,,,,,,,,0.0,1.0,,0.0,10.554827690124512,14.406224250793457,14.445127487182617,,,,,,,
55,,,,,,,,12.751897811889648,,,,,,,,,,,,0.0,1.0,,0.0,9.938190460205078,14.400057792663574,14.445127487182617,,,,,,,
56,,,,,,,,12.451635360717773,,,,,,,,,,,,0.0,1.0,,0.0,11.466272354125977,14.415339469909668,14.445127487182617,,,,,,,
57,,,,,,,,12.251774787902832,,,,,,,,,,,,0.0,1.0,,0.0,11.969121932983398,14.420367240905762,14.445127487182617,,,,,,,
58,,,,,,,,13.049688339233398,,,,,,,,,,,,0.0,1.0,,0.0,8.474418640136719,14.385420799255371,14.445127487182617,,,,,,,
59,,,,,,,,15.312685012817383,,,,,,,,,,,,0.0,1.0,,0.0,10.117207527160645,14.401848793029785,14.445127487182617,,,,,,,
