step,epoch,final_spec_losses_weighted/1024_spectrogram_logmag_eps,final_spec_losses_weighted/128_spectrogram_logmag_eps,final_spec_losses_weighted/2048_spectrogram_logmag_eps,final_spec_losses_weighted/256_spectrogram_logmag_eps,final_spec_losses_weighted/512_spectrogram_logmag_eps,final_spec_losses_weighted/64_spectrogram_logmag_eps,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
51,,,,,,,,13.052375793457031,,,,,,,,,,,,0.0,1.0,,0.0,12.13127326965332,15.090837478637695,15.120731353759766,,,,,,,
52,,,,,,,,10.73160457611084,,,,,,,,,,,,0.0,1.0,,0.0,10.208344459533691,15.07160758972168,15.120731353759766,,,,,,,
53,,,,,,,,15.419683456420898,,,,,,,,,,,,0.0,1.0,,0.0,10.391554832458496,15.073439598083496,15.120731353759766,,,,,,,
54,,,,,,,,10.563793182373047,,,,,,,,,,,,0.0,1.0,,0.0,10.916592597961426,15.078690528869629,15.120731353759766,,,,,,,
55,,,,,,,,12.79417896270752,,,,,,,,,,,,0.0,1.0,,0.0,10.233426094055176,15.071858406066895,15.120731353759766,,,,,,,
56,,,,,,,,12.491541862487793,,,,,,,,,,,,0.0,1.0,,0.0,11.547916412353516,15.085003852844238,15.120731353759766,,,,,,,
57,,,,,,,,12.23775577545166,,,,,,,,,,,,0.0,1.0,,0.0,11.962298393249512,15.089147567749023,15.120731353759766,,,,,,,
58,,,,,,,,12.845681190490723,,,,,,,,,,,,0.0,1.0,,0.0,8.492585182189941,15.054450035095215,15.120731353759766,,,,,,,
59,,,,,,,,15.644946098327637,,,,,,,,,,,,0.0,1.0,,0.0,9.8503999710083,15.068028450012207,15.120731353759766,,,,,,,
60,,,,,,,,16.220598220825195,,,,,,,,,,,,0.0,1.0,,0.0,10.294307708740234,15.072467803955078,15.120731353759766,,,,,,,
61,,,,,,,,10.069978713989258,,,,,,,,,,,,0.0,1.0,,0.0,10.922882080078125,15.078753471374512,15.120731353759766,,,,,,,
62,,,,,,,,14.585944175720215,,,,,,,,,,,,0.0,1.0,,0.0,9.808778762817383,15.067611694335938,15.120731353759766,,,,,,,
