run,last_step,epoch,final_spec_losses_weighted/1024_spectrogram_logmag,final_spec_losses_weighted/1024_spectrogram_logmag_eps,final_spec_losses_weighted/1024_spectrogram_mag,final_spec_losses_weighted/128_spectrogram_logmag,final_spec_losses_weighted/128_spectrogram_logmag_eps,final_spec_losses_weighted/128_spectrogram_mag,final_spec_losses_weighted/2048_spectrogram_cumsum_time,final_spec_losses_weighted/2048_spectrogram_logmag,final_spec_losses_weighted/2048_spectrogram_logmag_eps,final_spec_losses_weighted/2048_spectrogram_mag,final_spec_losses_weighted/256_spectrogram_logmag,final_spec_losses_weighted/256_spectrogram_logmag_eps,final_spec_losses_weighted/256_spectrogram_mag,final_spec_losses_weighted/512_spectrogram_logmag,final_spec_losses_weighted/512_spectrogram_logmag_eps,final_spec_losses_weighted/512_spectrogram_mag,final_spec_losses_weighted/64_spectrogram_logmag,final_spec_losses_weighted/64_spectrogram_logmag_eps,final_spec_losses_weighted/64_spectrogram_mag,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/pre_rampup_normalized_parameters_loss,normalized_losses/pre_rampup_normalized_spectrogram_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
fx_mag_lr1e4,7239,179.0,,,,,,,,,,0.23340816795825958,,,,,,,,,,0.17223259806632996,0.10571745038032532,0.23340816795825958,0.0,0.23340816795825958,3.0888683795928955,0.2717117369174957,6.514749526977539,8.599491119384766,0.9759582877159119,0.9715898633003235,0.48926490545272827,0.0,1.0,9.999999747378752e-05,0.0,0.025013305246829987,,,1.0547770261764526,1.0651787519454956,0.043641265481710434,0.04332774132490158,0.04332774132490158,0.02011999301612377,0.04332774132490158,0.0,0.04332774132490158
fx_mssloge_lr1e4,6159,153.0,,2.454710006713867,,,1.9909920692443848,,,,2.453430414199829,,,2.1266984939575195,,,2.279970169067383,,,1.679328203201294,,11.420454978942871,0.48434096574783325,12.985129356384277,0.0,12.985129356384277,7.064232349395752,0.8392770886421204,9.919705390930176,14.917717933654785,0.9591070413589478,0.9394485950469971,0.5408464670181274,0.0,1.0,9.999999747378752e-05,0.0,7.645079612731934,,,15.045974731445312,15.120731353759766,5.835674285888672,5.394986629486084,5.394986629486084,0.4209522604942322,5.394986629486084,0.0,5.394986629486084
l1_linear,2369,29.0,,,,,,,,,,22.527578353881836,,,,,,,,,,25.79669952392578,4.531756401062012,22.527578353881836,0.0,22.527578353881836,27.99769401550293,3.417551279067993,35.83261489868164,38.26517105102539,0.015629302710294724,-0.0075746262446045876,0.9999950528144836,0.0,1.0,0.000747172103729099,0.0,21.8197078704834,,,38.85717010498047,39.029266357421875,21.949499130249023,20.463459014892578,20.463459014892578,4.433201313018799,20.463459014892578,0.0,20.463459014892578
narrow_mss_ddsp,3577,88.0,0.5049609541893005,,39.25965118408203,0.5201370120048523,,4.84622859954834,,0.501693069934845,,78.6129150390625,0.5582589507102966,,9.753791809082031,0.523888111114502,,19.584980010986328,0.3883970081806183,,2.6248080730438232,2.3532187938690186,0.5893329381942749,157.67970275878906,0.0015532448887825012,2.2110040187835693,11.110574722290039,1.375611662864685,22.98741340637207,34.450889587402344,0.008236786350607872,0.04725142568349838,0.990771472454071,0.14666666090488434,0.8533333539962769,0.0004129496810492128,0.0013457100139930844,2.3783092498779297,0.009175295941531658,2.787081003189087,60.97589874267578,59.90534210205078,2.237011194229126,2.223170280456543,2.223170280456543,0.6020404696464539,158.43453979492188,0.0015819586114957929,2.221588373184204
narrow_ploss,7154,178.0,,,,,,,3230.646240234375,,,,,,,,,,,,,5.209448337554932,0.09201624989509583,3230.646240234375,8.286388397216797,0.0,3.281559705734253,0.32431426644325256,5.954917907714844,14.790064811706543,0.16451440751552582,0.9478546380996704,0.8103354573249817,1.0,0.0,0.00016713394143152982,1.9485447406768799,0.0,1.9485447406768799,0.0,0.01076809223741293,1.0,1.0390832424163818,0.5606600046157837,0.5606600046157837,0.005860074423253536,0.0,0.5606600046157837,0.0
narrow_spectrogram_logmag_eps_l1,4603,114.0,,,,,,,,,3.3091371059417725,,,,,,,,,,,1.2889986038208008,0.9624342918395996,3.3091371059417725,0.0,1.374068021774292,8.171955108642578,0.9286215305328369,20.937498092651367,20.809663772583008,0.022016743198037148,-0.0007097865454852581,1.1286001205444336,0.0,1.0,0.00031798906275071204,0.0,1.1696077585220337,0.4123806953430176,1.1696077585220337,2.4123620986938477,2.4082772731781006,1.1408944129943848,1.1448156833648682,1.1448156833648682,1.157666563987732,2.757033586502075,0.0,1.1448156833648682
narrow_spectrogram_magnitude,4519,112.0,,,,,,,,,,85.90787506103516,,,,,,,,,,0.9967746138572693,0.5680666565895081,78.59968566894531,0.0,0.894345760345459,12.685227394104004,1.559112548828125,23.490583419799805,36.07614517211914,0.010869462043046951,0.15317091345787048,0.9849801063537598,0.0,1.0,0.0003244455438107252,0.0,0.8166651725769043,0.006527181714773178,0.8166651725769043,87.7239990234375,87.88512420654297,0.9045307636260986,0.9775018692016602,0.9775018692016602,0.5633357167243958,85.90787506103516,0.0,0.9775018692016602
q_eps1,7999,199.0,,,,,,,,,0.0555337592959404,,,,,,,,,,,0.045790642499923706,0.10847873985767365,0.0555337592959404,0.0,0.0555337592959404,2.7569360733032227,0.2524354159832001,5.841667175292969,7.401716232299805,0.9762547016143799,0.9723217487335205,0.5273036956787109,0.0,1.0,1.9999999949504854e-06,0.0,0.02600252255797386,,,0.25861653685569763,0.2609661817550659,0.008590987883508205,0.02600252255797386,0.02600252255797386,0.05504254251718521,0.02600252255797386,0.0,0.02600252255797386
q_eps1e1,7999,199.0,,,,,,,,,0.17424051463603973,,,,,,,,,,,0.1483432799577713,0.1237230896949768,0.17424051463603973,0.0,0.17424051463603973,2.8494420051574707,0.2799760103225708,5.883652687072754,7.7464599609375,0.9783693552017212,0.9749358892440796,1.729880690574646,0.0,1.0,1.9999999949504854e-06,0.0,0.055375467985868454,,,0.6985119581222534,0.705008327960968,0.033915262669324875,0.055375467985868454,0.055375467985868454,0.05890336260199547,0.055375467985868454,0.0,0.055375467985868454
q_eps1e3,7999,199.0,,,,,,,,,0.3566739857196808,,,,,,,,,,,0.2760416865348816,0.15093974769115448,0.3566739857196808,0.0,0.3566739857196808,2.670029401779175,0.2727609872817993,5.61436128616333,7.224697589874268,0.9771654009819031,0.9731114506721497,1.611057162284851,0.0,1.0,1.9999999949504854e-06,0.0,0.5349271297454834,,,1.8212597370147705,1.834252953529358,0.4490986764431,0.5349271297454834,0.5349271297454834,0.04055566340684891,0.5349271297454834,0.0,0.5349271297454834
