filename,target_npz,runtime,best_loss,optimizer,loss_name,budget,num_particles,max_iter,realized_budget,w,c1,c2,seed,optuna_trial,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0081.npz,random_IR_0081.npz,378.282,0.01327209,PSO+Optuna,L1_STFT,2000,48,40,1968,0.30782981700614587,1.8500755249513992,1.8963443186278397,32754,24,2.08e-05,0.00157304,True,18.78993475,1.59965885,33.85511038,77433380864.0,11495.63476562,0.00163453,2.89479733,636.13531494,0.96206284,0.77519083,143916276455.23456,18819.5718134,0.00153385,2.89459589,980.58032699,0.96195051,0.77527659
random_IR_0082.npz,random_IR_0082.npz,270.74,0.05039845,PSO+Optuna,L1_STFT,2000,43,45,1978,0.5736056640061203,0.9195603309872695,2.4973233709858316,71450,28,1e-05,0.01606603,True,53.04383463,6.09491453,18.85233236,152848285696.0,18441.8046875,0.00287628,3.77785158,1000.0,0.59658885,0.7006551,72513174066.57114,19721.91684263,0.00431959,3.7775876,968.28672743,0.59563828,0.70067599
random_IR_0083.npz,random_IR_0083.npz,265.071,0.04135089,PSO+Optuna,L1_STFT,2000,40,49,2000,0.4002353486402924,1.4432308640657443,1.5537251585970009,33100,19,1.709e-05,0.00816974,True,19.06223854,3.05113902,0.0005246,134525665280.0,11250.69824219,0.00169432,3.86134243,0.01,0.95487821,0.58852351,135298345568.93004,19092.52772243,0.00220012,3.86121382,160.47603921,0.95485904,0.58851293
random_IR_0084.npz,random_IR_0084.npz,262.395,0.00056795,PSO+Optuna,L1_STFT,2000,36,54,1980,0.2818706738697251,2.3345265306277425,1.2955179662287835,78574,18,6.54e-06,0.01251765,True,14.43632242,4.57682401,1.78715104,83850829824.0,6975.38085938,0.00206961,3.01717949,25.79988861,0.52937889,0.53937989,104852009597.49052,15523.50711947,0.00276106,3.01724078,76.49600416,0.52941161,0.53937271
random_IR_0085.npz,random_IR_0085.npz,94.739,0.0034421,PSO+Optuna,L1_STFT,2000,35,56,1995,0.6349556296920594,1.2740243089428398,1.6449266363796282,38394,15,6.57e-06,0.0317563,True,44.16553723,16.76854773,8.69440649,67000000512.0,8848.39746094,0.00499136,1.27714765,383.99313354,0.76932561,0.65924478,169905093628.36777,19313.57231562,0.00463093,1.27712776,739.88651899,0.76918057,0.65917872
random_IR_0086.npz,random_IR_0086.npz,213.853,0.05999359,PSO+Optuna,L1_STFT,2000,35,56,1995,0.6076669842417777,1.539287401109153,1.2056623098540387,35846,26,1.042e-05,0.01547664,True,54.96556907,12.16079448,18.19320744,217155600384.0,16863.43359375,0.00325945,4.0,1000.0,0.59558052,0.67076886,216867620188.3252,9541.00928856,0.00244876,3.99409053,470.65424272,0.59558261,0.67071412
random_IR_0087.npz,random_IR_0087.npz,374.265,0.3500627,PSO+Optuna,L1_STFT,2000,42,46,1974,0.6839355993884909,1.3317206740376581,2.424778817557684,69630,8,1.083e-05,0.01278566,True,30.50693906,1.30461665,32.77942759,150899621888.0,21230.0,0.00143697,3.42066669,1000.0,0.7073918,0.7123394,110451996444.60149,11409.75425408,0.00125283,3.07301113,607.25330152,0.62682251,0.76211124
random_IR_0088.npz,random_IR_0088.npz,258.418,0.00498992,PSO+Optuna,L1_STFT,2000,51,38,1989,0.5178163783811297,1.755809863511496,1.462322822690499,50887,36,6.35e-06,0.00187565,True,69.43297924,3.00057096,5.9345062,67000000512.0,21230.0,0.00327051,2.16666031,412.05044556,0.55740893,0.67835891,87416233057.07742,20675.2814396,0.00282608,2.16698998,337.48400699,0.55743394,0.67826195
random_IR_0089.npz,random_IR_0089.npz,224.864,0.00431244,PSO+Optuna,L1_STFT,2000,50,39,2000,0.378115698692259,1.1987913774443402,2.3949695651007135,26557,37,1.656e-05,0.00519792,True,58.8409822,6.6967018,5.15118525,208210984960.0,21230.0,0.0027716,2.81410694,303.10079956,0.86360133,0.82243872,120839628417.53552,21216.42628574,0.00363671,2.81397801,397.2627746,0.86348927,0.82241552
random_IR_0090.npz,random_IR_0090.npz,125.451,2.747e-05,PSO+Optuna,L1_STFT,2000,32,61,1984,0.3982701877000504,2.1047590475306297,1.155162015404125,38961,32,7.91e-06,0.04177115,True,30.49585204,22.12236562,10.79230326,213734129664.0,9278.05859375,0.00328688,3.45785522,329.1204834,0.67439449,0.58236611,173832017106.19846,16803.76511792,0.0049049,3.4578562,889.79475851,0.6743941,0.58236593
