loss,monotonicity,fdc_7d_total,fdc_6d_total,fdc_7d_global,fdc_6d_global,metamodel_r2,metamodel_slope,autocorr_length,entropy,skewness,kurtosis,conv_rate,geomean_nmse,n_stage2,fdc_7d_q0,fdc_6d_q0,fdc_7d_q1,fdc_6d_q1,fdc_7d_q2,fdc_6d_q2,fdc_7d_q3,fdc_6d_q3,fdc_7d_q4,fdc_6d_q4
spectralot_lp,0.6237373737373737,0.2600746332686583,0.3139423099855775,0.07027157669735434,0.09490199364942643,0.04806060826328224,5.408306881751311e-05,16.75,1.2419746857872525,4.614506028831534,32.269634732073605,0.56,0.0017400242486454753,50,0.09777445484034274,0.1104155989073238,0.034528247051544066,0.047922018262614136,0.04075403596272476,0.06569994187463672,0.0377315170719817,0.07988346802167513,0.14056962856017846,0.17058894118088236
smoothmss_resmatch,0.6060606060606061,0.24912838053209516,0.3474182068545517,0.08087323045769033,0.11215009468809178,0.052505128726165584,1235.625372144945,23.5,1.174286757880052,2.6864918860113436,8.687592702530406,0.74,1.1618985656272556e-09,50,0.1554072525453284,0.16648107175669846,0.049757748485928024,0.06864089775561097,0.03349755310970693,0.058489396808730054,0.04708276301726885,0.07646869667935424,0.11862083513021955,0.19067041044006522
cqt_l1,0.5883838383838383,0.21076440844110209,0.2216525984131496,0.05358793841778466,0.061538391065956564,0.046072012417058696,0.03709329914941177,16.0,1.0964489313534207,0.7344559715123645,0.23499019757502748,0.54,0.000516306991309544,50,0.07251195319970749,0.10415999474996718,0.027731704573153576,0.04954971593572459,0.04063141019631373,0.03672402727679931,0.029728498303114394,0.02269387634016031,0.09733612581663417,0.09456434102713142
l1_stft_c2,0.5732323232323232,0.24525604678098276,0.3486772907333902,0.06574306714416964,0.0998231301445634,0.04866233097494928,0.024685725856434308,21.25,1.149407879148696,2.2462124341378,5.0012372140245205,0.4,0.0008886780625259799,50,0.09900390002437515,0.12611413196332477,0.030312470702941893,0.07515318845742786,0.0435286783042394,0.06425083906774416,0.04613138207113794,0.06561125382033638,0.10973890461815386,0.16798623741398383
edc,0.547979797979798,-0.008526828631707157,-0.01805233576308394,0.005621941387133669,0.00563360396002475,0.00423797244414736,-1.0941461525984837,3.0,1.1161271635307815,2.625197774138919,11.86287238773344,0.3,0.028513357081663717,50,-0.007914330714566965,0.029375339845874034,0.016875574222338888,0.0038166801042506513,0.0012248514053212832,-0.012474921718260737,0.0064942905893161824,-0.0020254814092588074,0.011429321433258957,0.00947640297751861
l1_stft_log_sc,0.5353535353535354,0.2582124608031152,0.30309798002449495,0.08979534247089044,0.08616179548221421,0.07941931399251406,0.4186378770955952,16.75,1.0647266984898949,0.9471483710903138,1.0195434138769375,0.48,0.006969303021207643,50,0.14001950012187575,0.14644488763550995,0.062252920330752054,0.04641760261001631,0.06581113006956293,0.06638732117075731,0.0429447059044119,0.06646166538540865,0.13794845592784954,0.10509750060937881
mfcc,0.5303030303030303,0.2306465144116286,0.30521220205305055,0.06734991468696679,0.09275692348077175,0.051457924995481005,3.5534385711432384,19.0,1.097049435463893,1.572511638421281,1.9095295616731005,0.26,0.022144555183608833,50,0.095669191682448,0.12389777436108976,0.03787111169444809,0.06049397183732398,0.05692882455515347,0.06011221945137156,0.04387743048394052,0.08011793823711397,0.10240301501884386,0.13916271351695947
mss,0.5277777777777778,0.24467273188493527,0.27767498489787434,0.07975975474846717,0.08086720252814232,0.06361158628143013,0.3347997104948618,12.0,1.0642732915420856,0.9012037110150641,0.9636598941601202,0.68,0.00026875901013552575,50,0.13575131719573247,0.13028640804005023,0.05084347402171263,0.047618595656855466,0.06205407533797086,0.055724035775223585,0.03817898861867886,0.06455684098025612,0.11197091856824104,0.10615013218832617
mel,0.5176767676767677,0.216622647905662,0.2818269779567445,0.06332124575778597,0.081155794723717,0.04750351498321294,0.30101017510253153,14.0,1.0813132563969514,1.4979850508410668,1.977546681852723,0.23333333333333334,0.01912875660706487,30,0.09135619597622484,0.10449224682654265,0.028420208876305475,0.047319483246770294,0.059411996324977026,0.0393984962406015,0.02930727692048075,0.07649363433521458,0.1081105506909418,0.13807511296945604
l1_stft_log,0.5151515151515151,0.14195933426668594,0.20137593575555088,0.05282170513565709,0.06615378846117788,0.026907017559203047,0.20316920130396304,2.0,1.0586188347865408,1.2127513732373223,1.5675666699038011,0.0,0.13109903051964425,50,0.05869574184838655,0.06220013875086718,0.037394952468452924,0.04604935030843943,0.044337183357395976,0.056346164663529145,0.02919393246207788,0.056177882361764755,0.09448671554197213,0.10999540622128887
l1_stft_log_masked,0.5151515151515151,0.09413398528349631,0.13500495450123862,0.03950426565166032,0.0552389889936812,0.010286675194434632,0.17995186800209256,1.0,1.0530740225920165,0.9338417260222197,0.973374082818804,0.12,0.05758594216931518,50,0.03591566197288733,0.04535278345489659,0.033732398327489546,0.04332355202220014,0.0370414190088688,0.055377064856655354,0.026301070631691445,0.04240676504228151,0.06453077831736448,0.08973477959237244
edr,0.5101010101010102,0.026081603020400752,0.026082047770511943,0.010350383439896497,0.009096975606097537,0.0017503631241920833,21.344270733379588,1.0,1.1159083256073092,2.4439445234548294,7.581187707984664,0.16,0.06315188023850547,50,0.022294358089738057,-0.006053944087150544,-0.0012882268014175087,0.006597884986781167,0.006682448015300095,0.01843314645716536,0.009293589334933343,0.006833761461009131,0.014769748560928504,0.019674029212682576
