loss,input_len,n_fft,n_targets,monotonicity,autocorr_length,entropy,metamodel_r2,metamodel_slope,skewness,kurtosis,fdc_7d_global,fdc_6d_global,fdc_7d_q0,fdc_6d_q0,fdc_7d_q1,fdc_6d_q1,fdc_7d_q2,fdc_6d_q2,fdc_7d_q3,fdc_6d_q3,fdc_7d_q4,fdc_6d_q4
l1_cqt,2048,1024,20,0.638888888888889,13.5,1.1165086927463435,0.04517840404837718,0.018606382978523617,0.5220226049423218,0.48977982997894287,0.08300751879699249,0.06075187969924811,0.11654135338345864,0.13233082706766916,0.09774436090225563,0.11353383458646617,0.018045112781954885,-0.03759398496240601,0.04210526315789473,0.0781954887218045,0.14060150375939848,0.017293233082706763
l1_cqt,4096,128,20,0.5934343434343434,13.5,1.1067692785240697,0.03609271919095407,0.018201726361132667,0.6484308242797852,0.1290278434753418,0.07052631578947367,0.05293233082706765,0.019548872180451125,0.1609022556390977,0.021804511278195486,-0.10451127819548872,0.03984962406015037,0.04812030075187969,0.08045112781954886,0.059398496240601506,0.19097744360902252,0.10075187969924812
l1_cqt,4096,256,20,0.5934343434343434,13.0,1.1069404254056505,0.03605420578898233,0.01822831936226034,0.6482573449611664,0.12793207168579102,0.07142857142857142,0.05308270676691729,0.019548872180451125,0.16165413533834586,0.021804511278195486,-0.10451127819548872,0.03984962406015037,0.04812030075187969,0.07744360902255637,0.059398496240601506,0.19849624060150373,0.10075187969924812
l1_cqt,4096,512,20,0.5934343434343434,13.0,1.110914640501982,0.035997968180549386,0.018285697780792476,0.6479507982730865,0.1255810260772705,0.07353383458646615,0.055338345864661645,0.019548872180451125,0.16992481203007517,0.022556390977443608,-0.10451127819548872,0.03984962406015037,0.051127819548872175,0.08721804511278194,0.059398496240601506,0.19849624060150373,0.10075187969924812
l1_cqt,4096,1024,20,0.5909090909090909,13.0,1.1039458873799974,0.03588606016522074,0.01840846772649515,0.6473394334316254,0.12171196937561035,0.07203007518796992,0.04887218045112781,0.009022556390977442,0.13684210526315788,0.03157894736842105,-0.10751879699248121,0.03984962406015037,0.051127819548872175,0.08120300751879699,0.06390977443609022,0.19849624060150373,0.09999999999999998
waveform_l2,1024,NA,20,0.6691919191919192,17.0,1.1368214722778158,0.018814761622541053,0.08227285994982672,0.41299423575401306,-0.47303271293640137,0.0986466165413534,0.04902255639097743,0.1902255639097744,0.14586466165413534,0.13909774436090225,0.06541353383458645,0.055639097744360905,0.03157894736842105,0.11127819548872181,0.02481203007518797,-0.0030075187969924805,-0.022556390977443608
waveform_l2,2048,NA,20,0.7070707070707071,22.75,1.1476496373708815,0.04111362345063099,0.12483559062431555,0.5148883014917374,-0.21964478492736816,0.05864661654135338,0.06466165413533834,0.06842105263157894,0.10451127819548871,0.06390977443609022,0.03609022556390977,0.05563909774436089,0.041353383458646614,0.10526315789473684,0.04661654135338346,0.0,0.09473684210526315
waveform_l2,4096,NA,20,0.7272727272727273,28.5,1.1431264387219595,0.03994677941355387,0.06933986397625708,0.5475255846977234,-0.31073153018951416,0.033984962406015035,0.013082706766917297,0.10225563909774435,0.02330827067669173,0.00827067669172932,0.051127819548872175,0.03984962406015037,0.0669172932330827,0.10751879699248118,-0.10526315789473684,-0.08796992481203006,0.02932330827067669
waveform_l1,1024,NA,20,0.6843434343434344,16.5,1.1302437790892674,0.03118565482888989,0.09050471443041327,0.0007509782444685698,-0.38239800930023193,0.09609022556390975,0.034887218045112786,0.20601503759398493,0.15037593984962405,0.1601503759398496,0.024060150375939848,0.016541353383458645,-0.024060150375939848,0.07593984962406014,0.006015037593984966,0.021804511278195486,0.018045112781954885
waveform_l1,2048,NA,20,0.6994949494949495,23.5,1.1347879131965057,0.04823468284627323,0.09705869224605826,0.07703058794140816,-0.2565019130706787,0.06421052631578947,0.08736842105263157,0.07894736842105263,0.12706766917293233,0.039097744360902256,0.03458646616541353,0.04060150375939849,0.060902255639097735,0.1443609022556391,0.06766917293233082,0.018045112781954885,0.14661654135338345
waveform_l1,4096,NA,20,0.7297979797979798,28.25,1.1302474272868537,0.04876023441744952,0.08270387581849489,0.1977180540561676,-0.47200095653533936,0.047518796992481196,0.03744360902255639,0.12631578947368421,0.08045112781954887,0.041353383458646614,0.022556390977443608,0.04060150375939849,0.07142857142857141,0.06390977443609022,-0.05263157894736842,-0.034586466165413526,0.06541353383458647
group_delay,1024,128,20,0.5353535353535354,1.0,1.0519228807824947,0.006284515087387924,0.03334299624530673,-0.003873200505040586,-0.26092708110809326,0.0028571428571428524,0.0015037593984962433,0.04511278195488721,0.03007518796992481,0.09097744360902255,-0.03609022556390977,0.009022556390977444,-0.06842105263157894,-0.13082706766917293,-0.0007518796992481201,0.0,0.08270676691729323
group_delay,1024,256,20,0.5454545454545454,1.5,1.0643784584275813,0.006170691293892591,0.10476787010570279,-0.10371531173586845,-0.3499382734298706,-0.024812030075187966,0.013383458646616542,0.015037593984962405,0.034586466165413526,0.005263157894736842,0.012781954887218045,-0.1300751879699248,-0.054887218045112776,-0.12556390977443607,-0.05789473684210525,0.1112781954887218,0.13233082706766916
group_delay,1024,512,20,0.5580808080808081,3.5,1.0757919754423673,0.013534757569905336,0.13055930698984916,-0.15959716588258743,-0.24075090885162354,0.02616541353383458,0.03744360902255639,0.0669172932330827,0.10075187969924812,0.011278195488721802,0.06390977443609022,0.022556390977443608,0.009774436090225562,-0.03984962406015037,0.021052631578947364,0.06992481203007518,-0.008270676691729323
group_delay,1024,1024,20,0.5580808080808081,5.5,1.081134923487693,0.011233031379234485,0.11706129074344383,0.020398789085447788,-0.23221027851104736,0.059548872180451115,0.006616541353383456,0.10977443609022555,0.06466165413533834,-0.006015037593984963,-0.12105263157894736,-0.03834586466165413,0.0030075187969924805,0.04586466165413533,0.01654135338345864,0.1864661654135338,0.06992481203007518
group_delay,2048,128,20,0.5353535353535354,1.0,1.0495669549065059,0.004566586356531071,0.024062739766511562,0.03655977768357843,-0.06535768508911133,-0.005112781954887217,-0.02857142857142857,-0.09248120300751879,-0.02857142857142857,0.15112781954887217,-0.03308270676691729,0.025563909774436087,-0.05864661654135338,-0.11428571428571427,-0.044360902255639094,0.004511278195488721,0.021804511278195483
group_delay,2048,256,20,0.5429292929292929,1.0,1.0530039266015554,0.007293588139290852,0.03588895085322721,-0.0908091813325882,-0.33683180809020996,0.008721804511278195,-0.011879699248120299,-0.04210526315789473,-0.018796992481203006,0.09624060150375939,-0.04887218045112782,0.05413533834586465,0.07518796992481203,-0.051127819548872175,-0.05263157894736842,-0.013533834586466165,-0.014285714285714285
group_delay,2048,512,20,0.5555555555555556,2.5,1.0705459449080885,0.008525566326158723,0.06533458840963285,-0.18410399556159973,-0.01655137538909912,0.014135338345864662,0.030676691729323302,0.07293233082706767,0.08872180451127819,-0.018796992481203006,-0.0037593984962406017,0.0015037593984962405,-0.017293233082706767,0.02781954887218045,0.06992481203007517,-0.012781954887218044,0.015789473684210527
