step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/CUTOFF_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
5999,23,23,0.000793614,10,0,0,4.84042e-05,4.89727e-05,9.29105e-05,0.0130208,0.0130208,0.0260416,0.359513,4.1904,5.2088,0.825145,0.0873712,2.89057,0.0479284,0.0536104,0.0337375,0.116077,0.0841456,0,2.12404,0,
6049,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,
6099,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,
6149,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,
6199,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,
6249,24,24,0.000785678,10,0,0,4.82704e-05,4.88321e-05,9.2895e-05,0.0130208,0.0130208,0.0260416,0.351335,3.99413,5.17263,0.808095,0.0776159,2.8116,0.0472401,0.050193,0.0338044,0.115054,0.0843891,0,1.85889,0,
6299,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,
6349,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,
6399,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,
6449,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,
6499,25,25,0.000777821,10,0,0,4.81131e-05,4.8849e-05,9.25354e-05,0.0130208,0.0130208,0.0260416,0.343098,4.14371,5.3176,0.821717,0.0929945,2.92957,0.0492556,0.055684,0.0335231,0.11794,0.0883867,0,2.11385,0,
6549,26,,0.000770043,,,,,,,,,,,,,,,,,,,,,,,,
6599,26,,0.000770043,,,,,,,,,,,,,,,,,,,,,,,,
6649,26,,0.000770043,,,,,,,,,,,,,,,,,,,,,,,,
6699,26,,0.000770043,,,,,,,,,,,,,,,,,,,,,,,,
