step,epoch,epoch,lr-Adam,lw/log_mag_w,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
40499,161,161,0.000198274,0.22996,2.5668,0,0.74332,0.0588784,3.65415e-05,2.10017e-05,0.2528,3.09256e-05,0.0932259,0.00347913,0.00337293,0.00691584,0,0.160524,0.219403,0,6.08057,13.8365,1.26565,0.052974,0.0515787,0.0308613,0.00468075,0.0461059,0.100687,0.0839297,0,0.282048,0,6.33042,17.0671,2.51037,0,0,0.423874,0
40549,162,,0.000196292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40599,162,,0.000196292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40649,162,,0.000196292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40699,162,,0.000196292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40749,162,162,0.000196292,0.24996,2.50013,0,0.749987,0.0593001,3.67389e-05,2.10689e-05,0.254541,3.10742e-05,0.0966791,0.00338637,0.00328012,0.00672665,0,0.163369,0.222669,0,6.15342,13.7393,1.25611,0.0529561,0.0522827,0.0309516,0.00481836,0.0457143,0.0994217,0.0845479,0,0.28194,0,6.40788,17.0354,2.51168,0,0,0.420766,0
40799,163,,0.000194329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40849,163,,0.000194329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40899,163,,0.000194329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40949,163,,0.000194329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40999,163,163,0.000194329,0.26996,2.43347,0,0.756653,0.0581431,3.73855e-05,2.122e-05,0.257941,3.0671e-05,0.092163,0.0033164,0.00320305,0.00658365,0,0.168159,0.226302,0,6.08707,13.6621,1.25444,0.052415,0.0509416,0.0317345,0.00478322,0.042205,0.0994674,0.085358,0,0.276679,0,6.43153,17.1114,2.51996,0,0,0.424879,0
41049,164,,0.000192385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41099,164,,0.000192385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41149,164,,0.000192385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41199,164,,0.000192385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41249,164,164,0.000192385,0.28996,2.3668,0,0.76332,0.0584552,3.74143e-05,2.10014e-05,0.259212,3.00494e-05,0.0922763,0.00322621,0.0031105,0.00640276,0,0.173164,0.23162,0,6.30681,14.1217,1.38159,0.0559466,0.0559097,0.031842,0.00534235,0.0594547,0.100245,0.0828854,0,0.291038,0,6.56344,17.0959,2.53547,0,0,0.420511,0
41299,165,,0.000190461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41349,165,,0.000190461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41399,165,,0.000190461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41449,165,,0.000190461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41499,165,165,0.000190461,0.30996,2.30013,0,0.769987,0.055925,3.78177e-05,2.13541e-05,0.26398,2.987e-05,0.0909311,0.00314624,0.00302126,0.00621946,0,0.17393,0.229855,0,6.04902,13.8851,1.25459,0.052422,0.0525317,0.0301594,0.00464205,0.0426464,0.101356,0.0831961,0,0.282889,0,6.4103,17.1176,2.52244,0,0,0.426138,0
41549,166,,0.000188557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41599,166,,0.000188557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41649,166,,0.000188557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41699,166,,0.000188557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41749,166,166,0.000188557,0.32996,2.23347,0,0.776653,0.0537907,3.80575e-05,2.17547e-05,0.273211,3.00793e-05,0.0961979,0.00306359,0.00294583,0.00604408,0,0.175209,0.229,0,6.08271,13.6532,1.25723,0.0530068,0.0533799,0.0312782,0.00477498,0.0433254,0.101789,0.0834934,0,0.276496,0,6.49548,17.0631,2.50966,0,0,0.420511,0
41799,167,,0.000186671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41849,167,,0.000186671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41899,167,,0.000186671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41949,167,,0.000186671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41999,167,167,0.000186671,0.34996,2.1668,0,0.78332,0.0528783,3.83318e-05,2.19383e-05,0.276753,2.99385e-05,0.104485,0.00297251,0.00285707,0.00591304,0,0.176555,0.229433,0,6.12668,13.6583,1.25696,0.0522997,0.0507417,0.0322397,0.00465313,0.0420717,0.100228,0.0838641,0,0.277305,0,6.33955,16.9987,2.48116,0,0,0.421143,0
42049,168,,0.000184805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42099,168,,0.000184805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42149,168,,0.000184805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42199,168,,0.000184805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42249,168,168,0.000184805,0.36996,2.10013,0,0.789986,0.0548021,3.93828e-05,2.19594e-05,0.277757,2.98228e-05,0.103431,0.00290384,0.00277439,0.00572058,0,0.179967,0.234769,0,6.15638,13.7791,1.26064,0.0527026,0.053036,0.0311557,0.00488477,0.0416671,0.100346,0.0851258,0,0.281316,0,6.38827,16.9995,2.50572,0,0,0.421128,0
42299,169,,0.000182957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42349,169,,0.000182957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42399,169,,0.000182957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42449,169,,0.000182957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42499,169,169,0.000182957,0.38996,2.03347,0,0.796653,0.0511147,3.90379e-05,2.24108e-05,0.279427,2.96647e-05,0.110097,0.00280548,0.00268963,0.00555904,0,0.184126,0.235241,0,6.11508,13.4689,1.25428,0.0525255,0.0518727,0.0311791,0.00454594,0.0429339,0.0996167,0.0850044,0,0.273635,0,6.52235,17.0982,2.51656,0,0,0.424676,0
42549,170,,0.000181127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42599,170,,0.000181127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42649,170,,0.000181127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42699,170,,0.000181127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42749,170,170,0.000181127,0.40996,1.9668,0,0.80332,0.0501101,3.94297e-05,2.26014e-05,0.284589,2.92833e-05,0.103437,0.00271909,0.00260226,0.00538945,0,0.187167,0.237277,0,6.05426,13.8928,1.26564,0.0533423,0.0520391,0.0314874,0.00490536,0.0466436,0.100343,0.0846353,0,0.280597,0,6.50455,17.1391,2.53633,0,0,0.425162,0
42799,171,,0.000179316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42849,171,,0.000179316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42899,171,,0.000179316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42949,171,,0.000179316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42999,171,171,0.000179316,0.42996,1.90013,0,0.809986,0.0468753,4.02222e-05,2.28594e-05,0.297479,2.94696e-05,0.115078,0.00264556,0.00251599,0.00523423,0,0.185362,0.232237,0,6.03712,13.5971,1.24297,0.0524662,0.0520836,0.0307487,0.00430601,0.041689,0.10117,0.0847996,0,0.276141,0,6.4791,16.9721,2.5054,0,0,0.423541,0
43049,172,,0.000177523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43099,172,,0.000177523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43149,172,,0.000177523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43199,172,,0.000177523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43249,172,172,0.000177523,0.44996,1.83347,0,0.816653,0.0449162,4.06474e-05,2.29861e-05,0.29453,2.91766e-05,0.108682,0.00254801,0.00242945,0.00505983,0,0.189353,0.23427,0,6.05483,13.5926,1.25674,0.0528225,0.0518908,0.0316753,0.00471614,0.0439227,0.101162,0.083568,0,0.276856,0,6.4252,16.9665,2.49863,0,0,0.422587,0
43299,173,,0.000175747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43349,173,,0.000175747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43399,173,,0.000175747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43449,173,,0.000175747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
