filename,target_npz,runtime,best_loss,optimizer,loss_name,num_particles,max_iter,w,c1,c2,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0044.npz,random_IR_0044.npz,0.292,0.459409,PSO,L1_STFT,10,5,0.2,2.0,1.0,7.73e-06,0.07317921,True,72.37912834,6.51668392,12.33667036,82885538341.5285,18092.92405207,0.00400041,2.42091998,892.91744689,0.71249472,0.62965582,102531823752.15424,10086.13402258,0.00233258,3.34473726,81.11057897,0.57491894,0.53617932
random_IR_0045.npz,random_IR_0045.npz,0.744,0.57312715,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.705e-05,0.02714168,True,19.95218754,1.63588836,16.21534994,172167885290.50958,15500.37952664,0.00128721,3.81004477,323.53170313,0.57932372,0.80983675,79166878635.77364,5192.59693353,0.00104571,3.20422366,770.5830427,0.55390549,0.83930343
random_IR_0046.npz,random_IR_0046.npz,0.3,0.3489565,PSO,L1_STFT,10,5,0.2,2.0,1.0,7.82e-06,0.02780254,True,22.76565248,8.94106201,2.66308595,171418058047.8626,9594.55967551,0.00237277,2.44653872,60.62688918,0.56409522,0.65061868,178237772194.83322,18608.36206798,0.00268216,1.81156491,557.37321764,0.64246067,0.57442657
random_IR_0047.npz,random_IR_0047.npz,0.355,0.48987129,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.018e-05,0.14456213,True,82.81831427,12.78901992,7.45995536,108783475818.93002,17309.13263951,0.00478466,3.2802532,617.82092708,0.74369014,0.58883859,171542044338.7951,11005.44265585,0.00220639,1.26058553,262.12552806,0.85085647,0.64892423
random_IR_0048.npz,random_IR_0048.npz,0.326,0.60524708,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.794e-05,0.0980397,True,49.7763649,9.10872941,12.22199108,127828589796.56735,14566.48200069,0.00341719,2.89930421,608.36628762,0.64826763,0.96480752,173640577983.92307,3498.74383694,0.0017246,2.20178817,788.54762685,0.89156074,0.89092971
random_IR_0049.npz,random_IR_0049.npz,0.243,0.41055903,PSO,L1_STFT,10,5,0.2,2.0,1.0,9.29e-06,0.00468438,True,17.70555089,8.21348604,18.15062642,170509564682.94745,8332.25454918,0.00212494,1.57057639,321.36683965,0.56036023,0.78087168,123740478280.33698,7559.05176558,0.00249525,1.85232544,587.6037592,0.6065566,0.73532938
random_IR_0050.npz,random_IR_0050.npz,0.19,0.93462896,PSO,L1_STFT,10,5,0.2,2.0,1.0,3.653e-05,0.07260103,True,30.51585446,17.93996668,24.47387906,201407301662.6026,9758.52192352,0.0031271,1.65612727,746.84133147,0.96271561,0.73464704,113941945230.415,12184.10079803,0.00419918,1.22937567,76.96567742,0.79299604,0.98012234
random_IR_0051.npz,random_IR_0051.npz,0.624,0.42294568,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.238e-05,0.01763843,True,12.72121928,1.37998666,43.59436265,95989256089.65524,10001.93967746,0.00127188,3.23320438,554.57344661,0.69479031,0.67767677,149035156689.62817,12018.31682358,0.00114145,2.97215371,430.40813548,0.84388233,0.64602209
random_IR_0052.npz,random_IR_0052.npz,0.258,0.49418336,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.089e-05,0.12399941,True,25.78864371,41.66204735,22.66715206,206906933312.02246,6646.29538689,0.00388015,3.71340782,584.55510839,0.71069645,0.58006682,205309545104.02023,5948.06076492,0.0025707,1.47369564,956.40615874,0.77646492,0.7338866
random_IR_0053.npz,random_IR_0053.npz,0.307,0.57012105,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.703e-05,0.01515845,True,31.00043744,14.70370065,9.92384591,155534918853.48383,9667.8104181,0.00320656,3.92873939,307.64356444,0.71666339,0.89673842,205318792113.84653,9931.67604802,0.00283442,3.65792009,724.17039494,0.84811226,0.85281481
