index,filename,mode,source,mu_source,nmse_orig_csv,nmse_refined_csv,nmse_recomputed,sqerr_mu,sqerr_D_mu,sqerr_T0_mu,sqerr_Ly,sqerr_op_x,sqerr_op_y,pct_mu,pct_D_mu,pct_T0_mu,pct_Ly,pct_op_x,pct_op_y
89,random_IR_0090.npz,full_or_composite,raw7_vs_gt_raw7,,,,2.0216996828510155e-14,2.505611135483773e-14,1.7303879358973173e-16,2.1021095507452466e-15,6.080959982172747e-15,8.643673934976541e-14,1.4530219399500785e-15,20.6559787022896,0.14265125120340258,1.7329556647939226,5.013075576748812,71.25748372599674,1.1978550789675286
90,random_IR_0091.npz,full_or_composite,raw7_vs_gt_raw7,,,,5.640059940339609e-15,2.633422528977593e-14,5.9680455652085e-18,6.750146720401234e-16,2.1812976757758664e-16,2.874295096363182e-15,3.732726770715625e-15,77.8189876477041,0.01763588102590609,1.9947030090117512,0.6445846612889373,8.493689567035908,11.030399233933387
91,random_IR_0092.npz,full_or_composite,raw7_vs_gt_raw7,,,,1.2846597311783438e-10,7.702082806131634e-10,9.686145236642878e-20,6.753020309236064e-14,1.7210260588093231e-16,5.192329727117188e-13,6.22718571461161e-16,99.92377253945371,1.256642128853625e-08,0.008761101150421507,2.232791061374057e-05,0.06736322987715153,8.078904168784281e-05
92,random_IR_0093.npz,full_or_composite,raw7_vs_gt_raw7,,,,1.3376791977922595e-14,4.283938708853074e-14,5.832723516495521e-17,3.685964382695655e-15,9.231114288866063e-15,1.99681886241934e-14,4.477770248084749e-15,53.37526261806516,0.07267217638481632,4.592486734710717,11.501405200017729,24.87914473708073,5.579028533740847
93,random_IR_0094.npz,full_or_composite,raw7_vs_gt_raw7,,,,5.920279403188003e-15,2.082100606316465e-14,2.409097493971429e-18,3.2089295047127557e-18,1.1622945549962527e-16,1.0707513912080276e-14,3.871308961384784e-15,58.61493083122837,0.006782048981996124,0.009033722020464055,0.32720712313295275,30.143605233435437,10.898441041200769
94,random_IR_0095.npz,full_or_composite,raw7_vs_gt_raw7,,,,1.7428538348041338e-14,8.66979471712612e-15,1.3573627674578916e-17,2.5150320118425473e-15,9.761318731627682e-16,8.99611671613502e-14,2.4355306970918243e-15,8.290803034266354,0.012980269681368464,2.4050898222389683,0.9334612133174747,86.02860182999822,2.3290638304976152
95,random_IR_0096.npz,full_or_composite,raw7_vs_gt_raw7,,,,1.2161301443911412e-14,3.8266599087984185e-14,1.7014385004412191e-18,7.575320635294794e-19,6.461088495858236e-16,1.1989807348082933e-14,2.206283440725156e-14,52.44312497374265,0.002331765927476796,0.001038172966140807,0.8854710884435534,16.431639606145474,30.236394392774713
96,random_IR_0097.npz,full_or_composite,raw7_vs_gt_raw7,,,,2.002823107148971e-15,3.825240353267764e-16,4.82267743822248e-18,4.937073947552472e-15,2.518825445965546e-15,4.158718274039498e-15,1.4974262571311346e-17,3.1832070271323265,0.04013232971838757,41.08429021955598,20.96062500456424,34.60713579076765,0.12460962826140684
97,random_IR_0098.npz,full_or_composite,raw7_vs_gt_raw7,,,,1.1942175130732388e-14,1.0857634479988203e-15,6.702181132075453e-16,4.8632013556054484e-14,3.257384869049087e-15,9.735719147902997e-15,8.271951650181404e-15,1.5153066563291315,0.9353657742002457,67.87151841222968,4.546051889473112,13.587305831817265,11.544451435950572
98,random_IR_0099.npz,full_or_composite,raw7_vs_gt_raw7,,,,1.1693197906703418e-13,1.1919438409536246e-16,8.701933307677132e-16,6.742415000687924e-13,1.9583512319708464e-15,2.1544285641028808e-14,2.8583497455499757e-15,0.016989134059872436,0.12403127266962231,96.10166888595785,0.2791296911241268,3.0707718300451705,0.407409186143361
99,random_IR_0100.npz,full_or_composite,raw7_vs_gt_raw7,,,,6.790618969219964e-14,3.7532551465588733e-17,1.2102817548967412e-16,2.984259403961053e-13,3.0271101943751935e-16,1.0451715055876018e-13,4.032775451939562e-15,0.009211863119722866,0.02970474808414914,73.24465848861722,0.07429637386754344,25.652337691283645,0.9897908350277151
