step,epoch,final_spec_losses_weighted/1024_spectrogram_logmag,final_spec_losses_weighted/1024_spectrogram_mag,final_spec_losses_weighted/128_spectrogram_logmag,final_spec_losses_weighted/128_spectrogram_mag,final_spec_losses_weighted/2048_spectrogram_logmag,final_spec_losses_weighted/2048_spectrogram_mag,final_spec_losses_weighted/256_spectrogram_logmag,final_spec_losses_weighted/256_spectrogram_mag,final_spec_losses_weighted/512_spectrogram_logmag,final_spec_losses_weighted/512_spectrogram_mag,final_spec_losses_weighted/64_spectrogram_logmag,final_spec_losses_weighted/64_spectrogram_mag,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
42,,,,,,,,,,,,,,164.685546875,,,,,,,,,,,,0.0,1.0,,0.0,179.10302734375,263.1047668457031,263.9532775878906,,,,,,,
43,,,,,,,,,,,,,,162.21730041503906,,,,,,,,,,,,0.0,1.0,,0.0,164.52798461914062,262.95904541015625,263.9532775878906,,,,,,,
44,,,,,,,,,,,,,,153.08172607421875,,,,,,,,,,,,0.0,1.0,,0.0,160.32530212402344,262.9169921875,263.9532775878906,,,,,,,
45,,,,,,,,,,,,,,152.83895874023438,,,,,,,,,,,,0.0,1.0,,0.0,152.7493896484375,262.84124755859375,263.9532775878906,,,,,,,
46,,,,,,,,,,,,,,153.42523193359375,,,,,,,,,,,,0.0,1.0,,0.0,173.6582489013672,263.0503234863281,263.9532775878906,,,,,,,
47,,,,,,,,,,,,,,168.48867797851562,,,,,,,,,,,,0.0,1.0,,0.0,152.7932586669922,262.8416748046875,263.9532775878906,,,,,,,
48,,,,,,,,,,,,,,165.81597900390625,,,,,,,,,,,,0.0,1.0,,0.0,175.77467346191406,263.0715026855469,263.9532775878906,,,,,,,
49,1.0,0.4962860643863678,36.113094329833984,0.498442143201828,4.376287937164307,0.48581385612487793,72.51162719726562,0.5563862919807434,8.997407913208008,0.5244197845458984,18.0228214263916,0.3511420786380768,2.2593560218811035,167.98980712890625,,,,,,,,,,,,0.0,1.0,9.899999713525176e-05,0.0,145.19308471679688,262.76568603515625,263.9532775878906,,145.19308471679688,145.19308471679688,1.2093867063522339,145.19308471679688,0.0,145.19308471679688
50,,,,,,,,,,,,,,156.912841796875,,,,,,,,,,,,0.0,1.0,,0.0,149.59161376953125,262.8096618652344,263.9532775878906,,,,,,,
51,,,,,,,,,,,,,,154.89154052734375,,,,,,,,,,,,0.0,1.0,,0.0,161.8874969482422,262.9326171875,263.9532775878906,,,,,,,
52,,,,,,,,,,,,,,159.62625122070312,,,,,,,,,,,,0.0,1.0,,0.0,162.8257598876953,262.9420166015625,263.9532775878906,,,,,,,
53,,,,,,,,,,,,,,137.77369689941406,,,,,,,,,,,,0.0,1.0,,0.0,193.01185607910156,263.2438659667969,263.9532775878906,,,,,,,
54,,,,,,,,,,,,,,176.24913024902344,,,,,,,,,,,,0.0,1.0,,0.0,156.89649963378906,262.8827209472656,263.9532775878906,,,,,,,
55,,,,,,,,,,,,,,156.55978393554688,,,,,,,,,,,,0.0,1.0,,0.0,180.14390563964844,263.1152038574219,263.9532775878906,,,,,,,
56,,,,,,,,,,,,,,163.84963989257812,,,,,,,,,,,,0.0,1.0,,0.0,140.35569763183594,262.7173156738281,263.9532775878906,,,,,,,
57,,,,,,,,,,,,,,138.9264678955078,,,,,,,,,,,,0.0,1.0,,0.0,173.2091827392578,263.04583740234375,263.9532775878906,,,,,,,
58,,,,,,,,,,,,,,164.61410522460938,,,,,,,,,,,,0.0,1.0,,0.0,175.50616455078125,263.0688171386719,263.9532775878906,,,,,,,
59,,,,,,,,,,,,,,162.08145141601562,,,,,,,,,,,,0.0,1.0,,0.0,164.55369567871094,262.95928955078125,263.9532775878906,,,,,,,
60,,,,,,,,,,,,,,153.02708435058594,,,,,,,,,,,,0.0,1.0,,0.0,163.64625549316406,262.9502258300781,263.9532775878906,,,,,,,
61,,,,,,,,,,,,,,152.7752227783203,,,,,,,,,,,,0.0,1.0,,0.0,186.31240844726562,263.1768798828125,263.9532775878906,,,,,,,
62,,,,,,,,,,,,,,153.10165405273438,,,,,,,,,,,,0.0,1.0,,0.0,142.68601989746094,262.7406005859375,263.9532775878906,,,,,,,
63,,,,,,,,,,,,,,168.2554931640625,,,,,,,,,,,,0.0,1.0,,0.0,166.13201904296875,262.9750671386719,263.9532775878906,,,,,,,
64,,,,,,,,,,,,,,165.50901794433594,,,,,,,,,,,,0.0,1.0,,0.0,180.02426147460938,263.1139831542969,263.9532775878906,,,,,,,
65,,,,,,,,,,,,,,167.7471466064453,,,,,,,,,,,,0.0,1.0,,0.0,155.2489776611328,262.8662414550781,263.9532775878906,,,,,,,
66,,,,,,,,,,,,,,156.7721405029297,,,,,,,,,,,,0.0,1.0,,0.0,199.11131286621094,263.30487060546875,263.9532775878906,,,,,,,
67,,,,,,,,,,,,,,154.7561798095703,,,,,,,,,,,,0.0,1.0,,0.0,193.8831787109375,263.2525939941406,263.9532775878906,,,,,,,
68,,,,,,,,,,,,,,159.33070373535156,,,,,,,,,,,,0.0,1.0,,0.0,168.11767578125,262.99493408203125,263.9532775878906,,,,,,,
69,,,,,,,,,,,,,,137.56405639648438,,,,,,,,,,,,0.0,1.0,,0.0,144.88632202148438,262.7626037597656,263.9532775878906,,,,,,,
70,,,,,,,,,,,,,,176.0011444091797,,,,,,,,,,,,0.0,1.0,,0.0,151.2154998779297,262.8258972167969,263.9532775878906,,,,,,,
71,,,,,,,,,,,,,,156.38316345214844,,,,,,,,,,,,0.0,1.0,,0.0,162.60511779785156,262.9397888183594,263.9532775878906,,,,,,,
72,,,,,,,,,,,,,,163.53512573242188,,,,,,,,,,,,0.0,1.0,,0.0,173.94515991210938,263.0531921386719,263.9532775878906,,,,,,,
73,,,,,,,,,,,,,,138.7027587890625,,,,,,,,,,,,0.0,1.0,,0.0,174.83685302734375,263.0621337890625,263.9532775878906,,,,,,,
74,,,,,,,,,,,,,,164.3689727783203,,,,,,,,,,,,0.0,1.0,,0.0,158.52540588378906,262.8990173339844,263.9532775878906,,,,,,,
75,,,,,,,,,,,,,,161.83924865722656,,,,,,,,,,,,0.0,1.0,,0.0,143.91744995117188,262.7529296875,263.9532775878906,,,,,,,
76,,,,,,,,,,,,,,152.74728393554688,,,,,,,,,,,,0.0,1.0,,0.0,149.27989196777344,262.8065490722656,263.9532775878906,,,,,,,
77,,,,,,,,,,,,,,152.60142517089844,,,,,,,,,,,,0.0,1.0,,0.0,173.78359985351562,263.05157470703125,263.9532775878906,,,,,,,
78,,,,,,,,,,,,,,152.83290100097656,,,,,,,,,,,,0.0,1.0,,0.0,181.28941345214844,263.12664794921875,263.9532775878906,,,,,,,
79,1.0,0.5271219611167908,39.853885650634766,0.5179835557937622,4.872828483581543,0.5191851854324341,79.84822082519531,0.5757706761360168,9.911760330200195,0.5471370220184326,19.89013671875,0.36659976840019226,2.5805976390838623,167.98512268066406,1.315751075744629,160.01121520996094,0.0,160.01121520996094,27.273916244506836,3.3778157234191895,33.388771057128906,45.57631301879883,0.010402821935713291,-0.023760398849844933,1.0344089269638062,0.0,1.0,,0.0,128.68450927734375,262.6005859375,263.9532775878906,163.57728576660156,,,,,,
80,,,,,,,,,,,,,,165.35830688476562,,,,,,,,,,,,0.0,1.0,,0.0,159.602783203125,262.9097900390625,263.9532775878906,,,,,,,
81,,,,,,,,,,,,,,167.5777130126953,,,,,,,,,,,,0.0,1.0,,0.0,179.62265014648438,263.1099853515625,263.9532775878906,,,,,,,
82,,,,,,,,,,,,,,156.61697387695312,,,,,,,,,,,,0.0,1.0,,0.0,155.24795532226562,262.8662414550781,263.9532775878906,,,,,,,
83,,,,,,,,,,,,,,154.61862182617188,,,,,,,,,,,,0.0,1.0,,0.0,148.23489379882812,262.7961120605469,263.9532775878906,,,,,,,
84,,,,,,,,,,,,,,159.1776123046875,,,,,,,,,,,,0.0,1.0,,0.0,150.78729248046875,262.8216247558594,263.9532775878906,,,,,,,
85,,,,,,,,,,,,,,137.35887145996094,,,,,,,,,,,,0.0,1.0,,0.0,176.291015625,263.07666015625,263.9532775878906,,,,,,,
86,,,,,,,,,,,,,,175.89976501464844,,,,,,,,,,,,0.0,1.0,,0.0,175.81932067871094,263.0719299316406,263.9532775878906,,,,,,,
87,,,,,,,,,,,,,,156.3145294189453,,,,,,,,,,,,0.0,1.0,,0.0,158.50953674316406,262.8988342285156,263.9532775878906,,,,,,,
88,,,,,,,,,,,,,,163.38150024414062,,,,,,,,,,,,0.0,1.0,,0.0,121.94409942626953,262.533203125,263.9532775878906,,,,,,,
89,,,,,,,,,,,,,,138.580810546875,,,,,,,,,,,,0.0,1.0,,0.0,165.50323486328125,262.9687805175781,263.9532775878906,,,,,,,
90,,,,,,,,,,,,,,164.17958068847656,,,,,,,,,,,,0.0,1.0,,0.0,191.1060028076172,263.2248229980469,263.9532775878906,,,,,,,
91,,,,,,,,,,,,,,161.66168212890625,,,,,,,,,,,,0.0,1.0,,0.0,158.72804260253906,262.9010314941406,263.9532775878906,,,,,,,
92,,,,,,,,,,,,,,152.59275817871094,,,,,,,,,,,,0.0,1.0,,0.0,160.2027130126953,262.915771484375,263.9532775878906,,,,,,,
93,,,,,,,,,,,,,,152.45889282226562,,,,,,,,,,,,0.0,1.0,,0.0,197.997802734375,263.2937316894531,263.9532775878906,,,,,,,
94,,,,,,,,,,,,,,152.64341735839844,,,,,,,,,,,,0.0,1.0,,0.0,131.4829559326172,262.6285705566406,263.9532775878906,,,,,,,
95,,,,,,,,,,,,,,167.8690185546875,,,,,,,,,,,,0.0,1.0,,0.0,149.64805603027344,262.81024169921875,263.9532775878906,,,,,,,
96,,,,,,,,,,,,,,165.2367401123047,,,,,,,,,,,,0.0,1.0,,0.0,144.97763061523438,262.7635192871094,263.9532775878906,,,,,,,
97,,,,,,,,,,,,,,167.49073791503906,,,,,,,,,,,,0.0,1.0,,0.0,175.73387145996094,263.0710754394531,263.9532775878906,,,,,,,
98,,,,,,,,,,,,,,156.48294067382812,,,,,,,,,,,,0.0,1.0,,0.0,119.48448944091797,262.50860595703125,263.9532775878906,,,,,,,
99,2.0,0.4984697997570038,39.44247817993164,0.514400839805603,4.843479156494141,0.4879797101020813,79.0072021484375,0.5561577677726746,9.80273723602295,0.5208766460418701,19.68042755126953,0.3783935606479645,2.577125072479248,154.534912109375,,,,,,,,,,,,0.0,1.0,9.801000123843551e-05,0.0,158.3097381591797,262.8968505859375,263.9532775878906,,158.3097381591797,158.3097381591797,1.3361356258392334,158.3097381591797,0.0,158.3097381591797
100,,,,,,,,,,,,,,159.07855224609375,,,,,,,,,,,,0.0,1.0,,0.0,135.3335723876953,262.6670837402344,263.9532775878906,,,,,,,
101,,,,,,,,,,,,,,137.22296142578125,,,,,,,,,,,,0.0,1.0,,0.0,167.09033203125,262.9846496582031,263.9532775878906,,,,,,,
102,,,,,,,,,,,,,,175.8125,,,,,,,,,,,,0.0,1.0,,0.0,134.18296813964844,262.65557861328125,263.9532775878906,,,,,,,
103,,,,,,,,,,,,,,156.20565795898438,,,,,,,,,,,,0.0,1.0,,0.0,148.224609375,262.7959899902344,263.9532775878906,,,,,,,
104,,,,,,,,,,,,,,163.2890625,,,,,,,,,,,,0.0,1.0,,0.0,168.1919708251953,262.99566650390625,263.9532775878906,,,,,,,
