step,epoch,final_spec_losses_weighted/2048_spectrogram_logmag_eps,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
49,1.0,5.151203632354736,3.994051694869995,,,,,,,,,,,,0.0,1.0,9.899999713525176e-05,0.0,5.151203632354736,5.2222466468811035,5.222963809967041,,5.151203632354736,5.151203632354736,0.9637918472290039,5.151203632354736,0.0,5.151203632354736
50,,,4.011311054229736,,,,,,,,,,,,0.0,1.0,,0.0,4.647732734680176,5.217211723327637,5.222963809967041,,,,,,,
51,,,4.137357711791992,,,,,,,,,,,,0.0,1.0,,0.0,5.348583221435547,5.224220275878906,5.222963809967041,,,,,,,
52,,,4.111877918243408,,,,,,,,,,,,0.0,1.0,,0.0,4.904189109802246,5.219776153564453,5.222963809967041,,,,,,,
53,,,4.683934688568115,,,,,,,,,,,,0.0,1.0,,0.0,4.707982063293457,5.2178144454956055,5.222963809967041,,,,,,,
54,,,3.721634864807129,,,,,,,,,,,,0.0,1.0,,0.0,4.950413703918457,5.22023868560791,5.222963809967041,,,,,,,
55,,,4.01855993270874,,,,,,,,,,,,0.0,1.0,,0.0,4.583728313446045,5.216571807861328,5.222963809967041,,,,,,,
56,,,4.310608386993408,,,,,,,,,,,,0.0,1.0,,0.0,4.823149681091309,5.218966007232666,5.222963809967041,,,,,,,
57,,,3.9483916759490967,,,,,,,,,,,,0.0,1.0,,0.0,5.022649765014648,5.220961093902588,5.222963809967041,,,,,,,
58,,,4.244096755981445,,,,,,,,,,,,0.0,1.0,,0.0,4.52154016494751,5.215950012207031,5.222963809967041,,,,,,,
59,,,4.4634623527526855,,,,,,,,,,,,0.0,1.0,,0.0,4.765377044677734,5.218388080596924,5.222963809967041,,,,,,,
60,,,4.504483222961426,,,,,,,,,,,,0.0,1.0,,0.0,4.589308261871338,5.216627597808838,5.222963809967041,,,,,,,
61,,,3.7343497276306152,,,,,,,,,,,,0.0,1.0,,0.0,4.859663486480713,5.21933126449585,5.222963809967041,,,,,,,
62,,,4.336775302886963,,,,,,,,,,,,0.0,1.0,,0.0,4.641315460205078,5.217147350311279,5.222963809967041,,,,,,,
63,,,3.7559938430786133,,,,,,,,,,,,0.0,1.0,,0.0,4.8522820472717285,5.219257354736328,5.222963809967041,,,,,,,
64,,,4.362879753112793,,,,,,,,,,,,0.0,1.0,,0.0,5.025532245635986,5.22098970413208,5.222963809967041,,,,,,,
65,,,3.929619312286377,,,,,,,,,,,,0.0,1.0,,0.0,4.9814019203186035,5.220548629760742,5.222963809967041,,,,,,,
66,,,3.9020962715148926,,,,,,,,,,,,0.0,1.0,,0.0,4.6291279792785645,5.2170257568359375,5.222963809967041,,,,,,,
67,,,3.838360071182251,,,,,,,,,,,,0.0,1.0,,0.0,4.705362319946289,5.217788219451904,5.222963809967041,,,,,,,
68,,,4.077240943908691,,,,,,,,,,,,0.0,1.0,,0.0,4.591996669769287,5.216654300689697,5.222963809967041,,,,,,,
69,,,4.585559368133545,,,,,,,,,,,,0.0,1.0,,0.0,4.654965400695801,5.217284202575684,5.222963809967041,,,,,,,
70,,,3.7486515045166016,,,,,,,,,,,,0.0,1.0,,0.0,4.640247821807861,5.217136859893799,5.222963809967041,,,,,,,
71,,,3.9034197330474854,,,,,,,,,,,,0.0,1.0,,0.0,4.487201690673828,5.215606212615967,5.222963809967041,,,,,,,
