step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
6449,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,,,
6499,25,25,0.000777821,10,0,0,4.84079e-05,4.8776e-05,9.25783e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.362104,4.29151,9.90231,0.886945,0.109361,3.78403,0.0479029,0.0501502,0.0319256,0.0108042,0.117489,0.0770486,0,3.75464,0,
6549,26,,0.000770043,,,,,,,,,,,,,,,,,,,,,,,,,,
6599,26,,0.000770043,,,,,,,,,,,,,,,,,,,,,,,,,,
6649,26,,0.000770043,,,,,,,,,,,,,,,,,,,,,,,,,,
6699,26,,0.000770043,,,,,,,,,,,,,,,,,,,,,,,,,,
6749,26,26,0.000770043,10,0,0,4.83874e-05,4.87388e-05,9.26118e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.359656,4.35367,9.36679,0.894536,0.105632,3.80457,0.0473933,0.0495508,0.0319179,0.00962456,0.116493,0.0767735,0,3.50829,0,
6799,27,,0.000762343,,,,,,,,,,,,,,,,,,,,,,,,,,
6849,27,,0.000762343,,,,,,,,,,,,,,,,,,,,,,,,,,
6899,27,,0.000762343,,,,,,,,,,,,,,,,,,,,,,,,,,
6949,27,,0.000762343,,,,,,,,,,,,,,,,,,,,,,,,,,
6999,27,27,0.000762343,10,0,0,4.83292e-05,4.86117e-05,9.26657e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.350564,4.23498,9.31019,0.872221,0.11203,3.74705,0.0460427,0.0489891,0.0316997,0.0100413,0.113472,0.0720544,0,3.50736,0,
7049,28,,0.000754719,,,,,,,,,,,,,,,,,,,,,,,,,,
7099,28,,0.000754719,,,,,,,,,,,,,,,,,,,,,,,,,,
7149,28,,0.000754719,,,,,,,,,,,,,,,,,,,,,,,,,,
7199,28,,0.000754719,,,,,,,,,,,,,,,,,,,,,,,,,,
7249,28,28,0.000754719,10,0,0,4.82043e-05,4.85916e-05,9.23141e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.340111,4.32825,9.7766,0.881671,0.106092,3.7034,0.0466762,0.0480656,0.032339,0.00985864,0.115585,0.074209,0,3.65788,0,
7299,29,,0.000747172,,,,,,,,,,,,,,,,,,,,,,,,,,
7349,29,,0.000747172,,,,,,,,,,,,,,,,,,,,,,,,,,
7399,29,,0.000747172,,,,,,,,,,,,,,,,,,,,,,,,,,
7449,29,,0.000747172,,,,,,,,,,,,,,,,,,,,,,,,,,
7499,29,29,0.000747172,10,0,0,4.82707e-05,4.85701e-05,9.26331e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.334732,4.29243,9.12826,0.880489,0.10845,3.69537,0.0469628,0.0502739,0.0334075,0.00886715,0.114376,0.074852,0,3.89294,0,
7549,30,,0.0007397,,,,,,,,,,,,,,,,,,,,,,,,,,
7599,30,,0.0007397,,,,,,,,,,,,,,,,,,,,,,,,,,
7649,30,,0.0007397,,,,,,,,,,,,,,,,,,,,,,,,,,
7699,30,,0.0007397,,,,,,,,,,,,,,,,,,,,,,,,,,
7749,30,30,0.0007397,10,0,0,4.82453e-05,4.85162e-05,9.2435e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.329285,4.24535,8.93751,0.87166,0.115045,3.69682,0.0477159,0.0490859,0.0317715,0.00892823,0.11431,0.0822001,0,3.29761,0,
7799,31,,0.000732303,,,,,,,,,,,,,,,,,,,,,,,,,,
7849,31,,0.000732303,,,,,,,,,,,,,,,,,,,,,,,,,,
7899,31,,0.000732303,,,,,,,,,,,,,,,,,,,,,,,,,,
7949,31,,0.000732303,,,,,,,,,,,,,,,,,,,,,,,,,,
7999,31,31,0.000732303,10,0,0,4.80961e-05,4.84312e-05,9.21246e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.321917,4.28126,8.71853,0.876227,0.108163,3.76529,0.0460482,0.0457042,0.0350617,0.00841808,0.11223,0.0748754,0,3.18706,0,
8049,32,,0.00072498,,,,,,,,,,,,,,,,,,,,,,,,,,
8099,32,,0.00072498,,,,,,,,,,,,,,,,,,,,,,,,,,
8149,32,,0.00072498,,,,,,,,,,,,,,,,,,,,,,,,,,
8199,32,,0.00072498,,,,,,,,,,,,,,,,,,,,,,,,,,
8249,32,32,0.00072498,10,0,0,4.80901e-05,4.84493e-05,9.20437e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.318717,4.21847,8.66424,0.858164,0.101771,3.50931,0.0475712,0.047397,0.0348227,0.00777489,0.114677,0.0807552,0,3.38852,0,
8299,33,,0.000717731,,,,,,,,,,,,,,,,,,,,,,,,,,
8349,33,,0.000717731,,,,,,,,,,,,,,,,,,,,,,,,,,
8399,33,,0.000717731,,,,,,,,,,,,,,,,,,,,,,,,,,
8449,33,,0.000717731,,,,,,,,,,,,,,,,,,,,,,,,,,
8499,33,33,0.000717731,10,0,0,4.81683e-05,4.8386e-05,9.18444e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.313851,4.54826,9.5457,0.899382,0.111131,3.66032,0.0476025,0.0490021,0.0321397,0.00926239,0.118,0.0772105,0,3.99488,0,
8549,34,,0.000710553,,,,,,,,,,,,,,,,,,,,,,,,,,
8599,34,,0.000710553,,,,,,,,,,,,,,,,,,,,,,,,,,
8649,34,,0.000710553,,,,,,,,,,,,,,,,,,,,,,,,,,
8699,34,,0.000710553,,,,,,,,,,,,,,,,,,,,,,,,,,
