step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
5299,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,,,
5349,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,,,
5399,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,,,
5449,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,,,
5499,21,21,0.000809728,10,0,0,4.86738e-05,4.89413e-05,9.29528e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.414769,4.73833,12.2395,1.06512,0.143735,5.47541,0.0540461,0.0559004,0.0342347,0.0204678,0.124852,0.0888212,0,4.59103,0,
5549,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,,,
5599,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,,,
5649,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,,,
5699,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,,,
5749,22,22,0.000801631,10,0,0,4.86309e-05,4.89322e-05,9.316e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.405517,4.50888,12.0827,1.01217,0.131643,5.2781,0.052675,0.0551516,0.0334154,0.0187146,0.119625,0.089144,0,4.10515,0,
5799,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,,,
5849,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,,,
5899,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,,,
5949,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,,,
5999,23,23,0.000793614,10,0,0,4.84805e-05,4.89332e-05,9.31039e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.396993,4.53954,12.3465,1.0416,0.138187,5.52558,0.0537668,0.0545062,0.0337025,0.0212456,0.127074,0.0860721,0,4.37699,0,
6049,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,,,
6099,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,,,
6149,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,,,
6199,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,,,
6249,24,24,0.000785678,10,0,0,4.85056e-05,4.88449e-05,9.26989e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.390845,4.55059,12.242,1.01983,0.132633,5.34181,0.0517853,0.0537407,0.0341137,0.0209453,0.120426,0.0814855,0,4.32045,0,
6299,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,,,
6349,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,,,
6399,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,,,
6449,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,,,
6499,25,25,0.000777821,10,0,0,4.84937e-05,4.87896e-05,9.27738e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.384128,4.50056,12.0276,1.00423,0.12694,5.19583,0.0511078,0.0542681,0.0347388,0.0186143,0.119691,0.0793349,0,4.10587,0,
6549,26,,0.000770043,,,,,,,,,,,,,,,,,,,,,,,,,,
6599,26,,0.000770043,,,,,,,,,,,,,,,,,,,,,,,,,,
6649,26,,0.000770043,,,,,,,,,,,,,,,,,,,,,,,,,,
6699,26,,0.000770043,,,,,,,,,,,,,,,,,,,,,,,,,,
6749,26,26,0.000770043,10,0,0,4.84653e-05,4.87359e-05,9.27736e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.374697,4.61053,12.1286,1.01527,0.138976,5.22769,0.051302,0.0549663,0.0340892,0.0182893,0.119115,0.081352,0,4.48009,0,
6799,27,,0.000762343,,,,,,,,,,,,,,,,,,,,,,,,,,
6849,27,,0.000762343,,,,,,,,,,,,,,,,,,,,,,,,,,
6899,27,,0.000762343,,,,,,,,,,,,,,,,,,,,,,,,,,
6949,27,,0.000762343,,,,,,,,,,,,,,,,,,,,,,,,,,
6999,27,27,0.000762343,10,0,0,4.83657e-05,4.87346e-05,9.27296e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.370312,4.46225,11.8653,0.996207,0.123868,5.09812,0.0507986,0.0550374,0.0334478,0.0185691,0.116565,0.0811728,0,3.86717,0,
7049,28,,0.000754719,,,,,,,,,,,,,,,,,,,,,,,,,,
7099,28,,0.000754719,,,,,,,,,,,,,,,,,,,,,,,,,,
7149,28,,0.000754719,,,,,,,,,,,,,,,,,,,,,,,,,,
7199,28,,0.000754719,,,,,,,,,,,,,,,,,,,,,,,,,,
