step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
5999,23,23,0.000857182,10,0,0,4.84785e-05,4.88624e-05,0.0260416,9.30471e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.424192,6.32834,16.1387,1.38393,0.0564354,0.0535435,0.0326934,0.00854984,0.0436936,0.106283,0.0938493,0,6.36019,0,6.32052,17.912,2.65407,0,0,11.2744,0
6049,24,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6099,24,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149,24,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6199,24,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6249,24,24,0.000851458,10,0,0,4.84235e-05,4.88656e-05,0.0260416,9.33279e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.420191,6.16682,15.2965,1.32445,0.0552828,0.0540163,0.0332209,0.0070504,0.043192,0.10733,0.0868869,0,4.88041,0,6.17669,17.6267,2.61741,0,0,9.15282,0
6299,25,,0.000845772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6349,25,,0.000845772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6399,25,,0.000845772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6449,25,,0.000845772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6499,25,25,0.000845772,10,0,0,4.83543e-05,4.87302e-05,0.0260416,9.32487e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.407508,6.15131,15.7649,1.33763,0.0532879,0.049823,0.0325334,0.00824396,0.0420675,0.103372,0.0836875,0,5.61584,0,6.18879,17.6367,2.6166,0,0,10.1023,0
6549,26,,0.000840124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6599,26,,0.000840124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6649,26,,0.000840124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6699,26,,0.000840124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6749,26,26,0.000840124,10,0,0,4.81859e-05,4.87628e-05,0.0260416,9.32652e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.401307,6.19678,15.0132,1.3053,0.0540905,0.0540982,0.0327503,0.00646925,0.0417847,0.10405,0.0853901,0,5.83509,0,6.13783,17.6919,2.62659,0,0,10.1817,0
6799,27,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6849,27,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6899,27,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6949,27,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6999,27,27,0.000834514,10,0,0,4.82067e-05,4.87046e-05,0.0260416,9.26057e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.389227,6.1095,15.5238,1.32586,0.0530432,0.0495321,0.0325509,0.00771553,0.0404409,0.10281,0.08521,0,5.32142,0,6.10758,17.6623,2.63626,0,0,9.55089,0
7049,28,,0.000828941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7099,28,,0.000828941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7149,28,,0.000828941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7199,28,,0.000828941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7249,28,28,0.000828941,10,0,0,4.83696e-05,4.86829e-05,0.0260416,9.29748e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.384827,6.11992,15.3081,1.31251,0.0543058,0.0498654,0.0318355,0.00712402,0.0427766,0.106254,0.0879794,0,5.21308,0,6.18394,17.7798,2.61962,0,0,9.8418,0
7299,29,,0.000823405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7349,29,,0.000823405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7399,29,,0.000823405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7449,29,,0.000823405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7499,29,29,0.000823405,10,0,0,4.81606e-05,4.8652e-05,0.0260416,9.26338e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.380865,6.14873,15.6481,1.3346,0.0528441,0.0492733,0.0320119,0.00778508,0.03758,0.102717,0.087697,0,5.74614,0,6.26902,17.7264,2.68176,0,0,10.3579,0
7549,30,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7599,30,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7649,30,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7699,30,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7749,30,30,0.000817907,10,0,0,4.82077e-05,4.86365e-05,0.0260416,9.26269e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.374522,6.11942,15.9061,1.33802,0.0528723,0.0494406,0.0323584,0.00896576,0.0386919,0.104337,0.0834404,0,5.41227,0,6.08789,17.5267,2.58951,0,0,9.47222,0
7799,31,,0.000812445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7849,31,,0.000812445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7899,31,,0.000812445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7949,31,,0.000812445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7999,31,31,0.000812445,10,0,0,4.80282e-05,4.84983e-05,0.0260416,9.24069e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.360352,6.06036,15.3846,1.34146,0.0543731,0.0523873,0.0342392,0.00659454,0.0435915,0.103682,0.0857437,0,4.99684,0,6.1247,17.6432,2.6334,0,0,9.1905,0
8049,32,,0.00080702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8099,32,,0.00080702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8149,32,,0.00080702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8199,32,,0.00080702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8249,32,32,0.00080702,10,0,0,4.80221e-05,4.84819e-05,0.0260416,9.26172e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.357503,6.20106,15.1897,1.31343,0.0533701,0.0509051,0.0320274,0.00688878,0.0422363,0.101965,0.0861981,0,5.56621,0,6.17743,17.6963,2.63177,0,0,10.5534,0
8299,33,,0.00080163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8349,33,,0.00080163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8399,33,,0.00080163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8449,33,,0.00080163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8499,33,33,0.00080163,10,0,0,4.80727e-05,4.84772e-05,0.0260416,9.21683e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.354034,6.03444,14.7283,1.27697,0.0524405,0.0486976,0.0321972,0.00634227,0.0376459,0.104559,0.0852005,0,5.08063,0,6.0312,17.3721,2.54335,0,0,9.85577,0
8549,34,,0.000796277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8599,34,,0.000796277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8649,34,,0.000796277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8699,34,,0.000796277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8749,34,34,0.000796277,10,0,0,4.8077e-05,4.85432e-05,0.0260416,9.21359e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.351694,6.19093,15.2677,1.32685,0.053351,0.0524473,0.0318668,0.00670162,0.0401416,0.102001,0.0869476,0,5.75677,0,6.27569,17.6644,2.63713,0,0,10.5988,0
8799,35,,0.00079096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8849,35,,0.00079096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8899,35,,0.00079096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8949,35,,0.00079096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8999,35,35,0.00079096,10,0,0,4.79965e-05,4.84646e-05,0.0260416,9.19786e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.344182,6.31885,15.8749,1.35028,0.0535634,0.0512764,0.0313235,0.00790664,0.0385763,0.105672,0.0866259,0,6.17494,0,6.10398,17.601,2.59045,0,0,10.9278,0
9049,36,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9099,36,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9149,36,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9199,36,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9249,36,36,0.000785678,10,0,0,4.78889e-05,4.84455e-05,0.0260416,9.23474e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.333159,6.08466,14.8892,1.2907,0.0512755,0.0475805,0.030987,0.00661826,0.0365046,0.102131,0.0838317,0,4.98684,0,6.01959,17.5192,2.5577,0,0,9.90983,0
9299,37,,0.000780431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9349,37,,0.000780431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9399,37,,0.000780431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
