step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/mfcc03,val_ood/mfccdb,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
3199,12,,0.000886385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3249,12,12,0.000886385,10,0,0,4.89832e-05,4.92768e-05,0.0260416,9.43754e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.498173,6.41282,15.4961,1.36097,0.165688,6.51798,0.0586314,0.0568305,0.0386336,0.0105785,0.0154595,0.135679,0.0946078,0,5.82761,0,5.73853,17.7035,2.51192,0.346613,12.2621,0,0,8.56933,0
3299,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3349,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3449,13,,0.000877521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3499,13,13,0.000877521,10,0,0,4.89862e-05,4.92192e-05,0.0260416,9.42335e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.491555,6.33586,15.5639,1.32104,0.163192,6.01543,0.0543026,0.053205,0.0405403,0.00893281,0.0149276,0.122801,0.0854091,0,6.50114,0,5.70665,18.0531,2.5473,0.366038,12.6676,0,0,9.90467,0
3549,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3599,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3649,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3699,14,,0.000868746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3749,14,14,0.000868746,10,0,0,4.89462e-05,4.91872e-05,0.0260416,9.39408e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.478282,6.50213,15.2862,1.37093,0.189593,6.46948,0.0599581,0.0613914,0.0358602,0.00971146,0.0130674,0.130543,0.109175,0,5.73573,0,5.80482,17.6439,2.51118,0.338118,12.2723,0,0,8.07486,0
3799,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3849,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3899,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3949,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3999,15,15,0.000860058,10,0,0,4.88074e-05,4.91778e-05,0.0260416,9.39537e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.464327,6.20927,15.0195,1.29031,0.145106,5.56502,0.0517933,0.0508594,0.0342115,0.00873353,0.0117119,0.124542,0.0807018,0,5.85949,0,5.66999,17.7233,2.51811,0.35152,12.243,0,0,9.18199,0
4049,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4099,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4149,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4199,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
